tanggal,stasiun,jumlah
2010-04-04,DKI1,904661
2010-04-04,DKI2,1588492
2010-04-04,DKI3,2015588
2010-04-04,DKI4,2672336
2010-04-04,DKI5,2114713
2010-04-05,DKI1,904723
2010-04-05,DKI2,1587881
2010-04-05,DKI3,2015142
2010-04-05,DKI4,2672178
2010-04-05,DKI5,2112949
2010-04-06,DKI1,904786
2010-04-06,DKI2,1587270
2010-04-06,DKI3,2014695
2010-04-06,DKI4,2672020
2010-04-06,DKI5,2111184
2010-04-07,DKI1,904848
2010-04-07,DKI2,1586659
2010-04-07,DKI3,2014249
2010-04-07,DKI4,2671862
2010-04-07,DKI5,2109419
2010-04-08,DKI1,904910
2010-04-08,DKI2,1586048
2010-04-08,DKI3,2013803
2010-04-08,DKI4,2671704
2010-04-08,DKI5,2107655
2010-04-09,DKI1,904972
2010-04-09,DKI2,1585437
2010-04-09,DKI3,2013357
2010-04-09,DKI4,2671546
2010-04-09,DKI5,2105890
2010-04-10,DKI1,905034
2010-04-10,DKI2,1584826
2010-04-10,DKI3,2012911
2010-04-10,DKI4,2671388
2010-04-10,DKI5,2104126
2010-04-11,DKI1,905096
2010-04-11,DKI2,1584215
2010-04-11,DKI3,2012465
2010-04-11,DKI4,2671230
2010-04-11,DKI5,2102361
2010-04-12,DKI1,905158
2010-04-12,DKI2,1583604
2010-04-12,DKI3,2012019
2010-04-12,DKI4,2671072
2010-04-12,DKI5,2100596
2010-04-13,DKI1,905220
2010-04-13,DKI2,1582993
2010-04-13,DKI3,2011572
2010-04-13,DKI4,2670914
2010-04-13,DKI5,2098832
2010-04-14,DKI1,905283
2010-04-14,DKI2,1582382
2010-04-14,DKI3,2011126
2010-04-14,DKI4,2670756
2010-04-14,DKI5,2097067
2010-04-15,DKI1,905345
2010-04-15,DKI2,1581771
2010-04-15,DKI3,2010680
2010-04-15,DKI4,2670598
2010-04-15,DKI5,2095302
2010-04-16,DKI1,905407
2010-04-16,DKI2,1581161
2010-04-16,DKI3,2010234
2010-04-16,DKI4,2670440
2010-04-16,DKI5,2093538
2010-04-17,DKI1,905469
2010-04-17,DKI2,1580550
2010-04-17,DKI3,2009788
2010-04-17,DKI4,2670282
2010-04-17,DKI5,2091773
2010-04-18,DKI1,905531
2010-04-18,DKI2,1579939
2010-04-18,DKI3,2009342
2010-04-18,DKI4,2670124
2010-04-18,DKI5,2090008
2010-04-19,DKI1,905593
2010-04-19,DKI2,1579328
2010-04-19,DKI3,2008896
2010-04-19,DKI4,2669966
2010-04-19,DKI5,2088244
2010-04-20,DKI1,905655
2010-04-20,DKI2,1578717
2010-04-20,DKI3,2008449
2010-04-20,DKI4,2669808
2010-04-20,DKI5,2086479
2010-04-21,DKI1,905718
2010-04-21,DKI2,1578106
2010-04-21,DKI3,2008003
2010-04-21,DKI4,2669650
2010-04-21,DKI5,2084715
2010-04-22,DKI1,905780
2010-04-22,DKI2,1577495
2010-04-22,DKI3,2007557
2010-04-22,DKI4,2669492
2010-04-22,DKI5,2082950
2010-04-23,DKI1,905842
2010-04-23,DKI2,1576884
2010-04-23,DKI3,2007111
2010-04-23,DKI4,2669334
2010-04-23,DKI5,2081185
2010-04-24,DKI1,905904
2010-04-24,DKI2,1576273
2010-04-24,DKI3,2006665
2010-04-24,DKI4,2669176
2010-04-24,DKI5,2079421
2010-04-25,DKI1,905966
2010-04-25,DKI2,1575662
2010-04-25,DKI3,2006219
2010-04-25,DKI4,2669018
2010-04-25,DKI5,2077656
2010-04-26,DKI1,906028
2010-04-26,DKI2,1575051
2010-04-26,DKI3,2005772
2010-04-26,DKI4,2668860
2010-04-26,DKI5,2075891
2010-04-27,DKI1,906090
2010-04-27,DKI2,1574440
2010-04-27,DKI3,2005326
2010-04-27,DKI4,2668702
2010-04-27,DKI5,2074127
2010-04-28,DKI1,906153
2010-04-28,DKI2,1573829
2010-04-28,DKI3,2004880
2010-04-28,DKI4,2668544
2010-04-28,DKI5,2072362
2010-04-29,DKI1,906215
2010-04-29,DKI2,1573218
2010-04-29,DKI3,2004434
2010-04-29,DKI4,2668386
2010-04-29,DKI5,2070597
2010-04-30,DKI1,906277
2010-04-30,DKI2,1572607
2010-04-30,DKI3,2003988
2010-04-30,DKI4,2668228
2010-04-30,DKI5,2068833
2010-05-01,DKI1,906339
2010-05-01,DKI2,1571996
2010-05-01,DKI3,2003542
2010-05-01,DKI4,2668070
2010-05-01,DKI5,2067068
2010-05-02,DKI1,906401
2010-05-02,DKI2,1571385
2010-05-02,DKI3,2003096
2010-05-02,DKI4,2667912
2010-05-02,DKI5,2065304
2010-05-03,DKI1,906463
2010-05-03,DKI2,1570774
2010-05-03,DKI3,2002649
2010-05-03,DKI4,2667755
2010-05-03,DKI5,2063539
2010-05-04,DKI1,906525
2010-05-04,DKI2,1570163
2010-05-04,DKI3,2002203
2010-05-04,DKI4,2667597
2010-05-04,DKI5,2061774
2010-05-05,DKI1,906587
2010-05-05,DKI2,1569552
2010-05-05,DKI3,2001757
2010-05-05,DKI4,2667439
2010-05-05,DKI5,2060010
2010-05-06,DKI1,906650
2010-05-06,DKI2,1568941
2010-05-06,DKI3,2001311
2010-05-06,DKI4,2667281
2010-05-06,DKI5,2058245
2010-05-07,DKI1,906712
2010-05-07,DKI2,1568330
2010-05-07,DKI3,2000865
2010-05-07,DKI4,2667123
2010-05-07,DKI5,2056480
2010-05-08,DKI1,906774
2010-05-08,DKI2,1567719
2010-05-08,DKI3,2000419
2010-05-08,DKI4,2666965
2010-05-08,DKI5,2054716
2010-05-09,DKI1,906836
2010-05-09,DKI2,1567108
2010-05-09,DKI3,1999973
2010-05-09,DKI4,2666807
2010-05-09,DKI5,2052951
2010-05-10,DKI1,906898
2010-05-10,DKI2,1566497
2010-05-10,DKI3,1999526
2010-05-10,DKI4,2666649
2010-05-10,DKI5,2051187
2010-05-11,DKI1,906960
2010-05-11,DKI2,1565886
2010-05-11,DKI3,1999080
2010-05-11,DKI4,2666491
2010-05-11,DKI5,2049422
2010-05-12,DKI1,907022
2010-05-12,DKI2,1565276
2010-05-12,DKI3,1998634
2010-05-12,DKI4,2666333
2010-05-12,DKI5,2047657
2010-05-13,DKI1,907085
2010-05-13,DKI2,1564665
2010-05-13,DKI3,1998188
2010-05-13,DKI4,2666175
2010-05-13,DKI5,2045893
2010-05-14,DKI1,907147
2010-05-14,DKI2,1564054
2010-05-14,DKI3,1997742
2010-05-14,DKI4,2666017
2010-05-14,DKI5,2044128
2010-05-15,DKI1,907209
2010-05-15,DKI2,1563443
2010-05-15,DKI3,1997296
2010-05-15,DKI4,2665859
2010-05-15,DKI5,2042363
2010-05-16,DKI1,907271
2010-05-16,DKI2,1562832
2010-05-16,DKI3,1996850
2010-05-16,DKI4,2665701
2010-05-16,DKI5,2040599
2010-05-17,DKI1,907333
2010-05-17,DKI2,1562221
2010-05-17,DKI3,1996403
2010-05-17,DKI4,2665543
2010-05-17,DKI5,2038834
2010-05-18,DKI1,907395
2010-05-18,DKI2,1561610
2010-05-18,DKI3,1995957
2010-05-18,DKI4,2665385
2010-05-18,DKI5,2037069
2010-05-19,DKI1,907457
2010-05-19,DKI2,1560999
2010-05-19,DKI3,1995511
2010-05-19,DKI4,2665227
2010-05-19,DKI5,2035305
2010-05-20,DKI1,907520
2010-05-20,DKI2,1560388
2010-05-20,DKI3,1995065
2010-05-20,DKI4,2665069
2010-05-20,DKI5,2033540
2010-05-21,DKI1,907582
2010-05-21,DKI2,1559777
2010-05-21,DKI3,1994619
2010-05-21,DKI4,2664911
2010-05-21,DKI5,2031776
2010-05-22,DKI1,907644
2010-05-22,DKI2,1559166
2010-05-22,DKI3,1994173
2010-05-22,DKI4,2664753
2010-05-22,DKI5,2030011
2010-05-23,DKI1,907706
2010-05-23,DKI2,1558555
2010-05-23,DKI3,1993726
2010-05-23,DKI4,2664595
2010-05-23,DKI5,2028246
2010-05-24,DKI1,907768
2010-05-24,DKI2,1557944
2010-05-24,DKI3,1993280
2010-05-24,DKI4,2664437
2010-05-24,DKI5,2026482
2010-05-25,DKI1,907830
2010-05-25,DKI2,1557333
2010-05-25,DKI3,1992834
2010-05-25,DKI4,2664279
2010-05-25,DKI5,2024717
2010-05-26,DKI1,907892
2010-05-26,DKI2,1556722
2010-05-26,DKI3,1992388
2010-05-26,DKI4,2664121
2010-05-26,DKI5,2022952
2010-05-27,DKI1,907955
2010-05-27,DKI2,1556111
2010-05-27,DKI3,1991942
2010-05-27,DKI4,2663963
2010-05-27,DKI5,2021188
2010-05-28,DKI1,908017
2010-05-28,DKI2,1555500
2010-05-28,DKI3,1991496
2010-05-28,DKI4,2663805
2010-05-28,DKI5,2019423
2010-05-29,DKI1,908079
2010-05-29,DKI2,1554889
2010-05-29,DKI3,1991050
2010-05-29,DKI4,2663647
2010-05-29,DKI5,2017658
2010-05-30,DKI1,908141
2010-05-30,DKI2,1554278
2010-05-30,DKI3,1990603
2010-05-30,DKI4,2663489
2010-05-30,DKI5,2015894
2010-05-31,DKI1,908203
2010-05-31,DKI2,1553667
2010-05-31,DKI3,1990157
2010-05-31,DKI4,2663331
2010-05-31,DKI5,2014129
2010-06-01,DKI1,908265
2010-06-01,DKI2,1553056
2010-06-01,DKI3,1989711
2010-06-01,DKI4,2663173
2010-06-01,DKI5,2012365
2010-06-02,DKI1,908327
2010-06-02,DKI2,1552445
2010-06-02,DKI3,1989265
2010-06-02,DKI4,2663015
2010-06-02,DKI5,2010600
2010-06-03,DKI1,908389
2010-06-03,DKI2,1551834
2010-06-03,DKI3,1988819
2010-06-03,DKI4,2662858
2010-06-03,DKI5,2008835
2010-06-04,DKI1,908452
2010-06-04,DKI2,1551223
2010-06-04,DKI3,1988373
2010-06-04,DKI4,2662700
2010-06-04,DKI5,2007071
2010-06-05,DKI1,908514
2010-06-05,DKI2,1550612
2010-06-05,DKI3,1987927
2010-06-05,DKI4,2662542
2010-06-05,DKI5,2005306
2010-06-06,DKI1,908576
2010-06-06,DKI2,1550001
2010-06-06,DKI3,1987480
2010-06-06,DKI4,2662384
2010-06-06,DKI5,2003541
2010-06-07,DKI1,908638
2010-06-07,DKI2,1549391
2010-06-07,DKI3,1987034
2010-06-07,DKI4,2662226
2010-06-07,DKI5,2001777
2010-06-08,DKI1,908700
2010-06-08,DKI2,1548780
2010-06-08,DKI3,1986588
2010-06-08,DKI4,2662068
2010-06-08,DKI5,2000012
2010-06-09,DKI1,908762
2010-06-09,DKI2,1548169
2010-06-09,DKI3,1986142
2010-06-09,DKI4,2661910
2010-06-09,DKI5,1998247
2010-06-10,DKI1,908824
2010-06-10,DKI2,1547558
2010-06-10,DKI3,1985696
2010-06-10,DKI4,2661752
2010-06-10,DKI5,1996483
2010-06-11,DKI1,908887
2010-06-11,DKI2,1546947
2010-06-11,DKI3,1985250
2010-06-11,DKI4,2661594
2010-06-11,DKI5,1994718
2010-06-12,DKI1,908949
2010-06-12,DKI2,1546336
2010-06-12,DKI3,1984804
2010-06-12,DKI4,2661436
2010-06-12,DKI5,1992954
2010-06-13,DKI1,909011
2010-06-13,DKI2,1545725
2010-06-13,DKI3,1984357
2010-06-13,DKI4,2661278
2010-06-13,DKI5,1991189
2010-06-14,DKI1,909073
2010-06-14,DKI2,1545114
2010-06-14,DKI3,1983911
2010-06-14,DKI4,2661120
2010-06-14,DKI5,1989424
2010-06-15,DKI1,909135
2010-06-15,DKI2,1544503
2010-06-15,DKI3,1983465
2010-06-15,DKI4,2660962
2010-06-15,DKI5,1987660
2010-06-16,DKI1,909197
2010-06-16,DKI2,1543892
2010-06-16,DKI3,1983019
2010-06-16,DKI4,2660804
2010-06-16,DKI5,1985895
2010-06-17,DKI1,909259
2010-06-17,DKI2,1543281
2010-06-17,DKI3,1982573
2010-06-17,DKI4,2660646
2010-06-17,DKI5,1984130
2010-06-18,DKI1,909322
2010-06-18,DKI2,1542670
2010-06-18,DKI3,1982127
2010-06-18,DKI4,2660488
2010-06-18,DKI5,1982366
2010-06-19,DKI1,909384
2010-06-19,DKI2,1542059
2010-06-19,DKI3,1981680
2010-06-19,DKI4,2660330
2010-06-19,DKI5,1980601
2010-06-20,DKI1,909446
2010-06-20,DKI2,1541448
2010-06-20,DKI3,1981234
2010-06-20,DKI4,2660172
2010-06-20,DKI5,1978836
2010-06-21,DKI1,909508
2010-06-21,DKI2,1540837
2010-06-21,DKI3,1980788
2010-06-21,DKI4,2660014
2010-06-21,DKI5,1977072
2010-06-22,DKI1,909570
2010-06-22,DKI2,1540226
2010-06-22,DKI3,1980342
2010-06-22,DKI4,2659856
2010-06-22,DKI5,1975307
2010-06-23,DKI1,909632
2010-06-23,DKI2,1539615
2010-06-23,DKI3,1979896
2010-06-23,DKI4,2659698
2010-06-23,DKI5,1973543
2010-06-24,DKI1,909694
2010-06-24,DKI2,1539004
2010-06-24,DKI3,1979450
2010-06-24,DKI4,2659540
2010-06-24,DKI5,1971778
2010-06-25,DKI1,909756
2010-06-25,DKI2,1538393
2010-06-25,DKI3,1979004
2010-06-25,DKI4,2659382
2010-06-25,DKI5,1970013
2010-06-26,DKI1,909819
2010-06-26,DKI2,1537782
2010-06-26,DKI3,1978557
2010-06-26,DKI4,2659224
