tanggal,stasiun,populasi,days_since_pop_update
2010-01-31,DKI5,2278825,30
2010-02-01,DKI1,898883,31
2010-02-01,DKI2,1645312,31
2010-02-01,DKI3,2057080,31
2010-02-01,DKI4,2687027,31
2010-02-01,DKI5,2278825,31
2010-02-02,DKI1,898883,32
2010-02-02,DKI2,1645312,32
2010-02-02,DKI3,2057080,32
2010-02-02,DKI4,2687027,32
2010-02-02,DKI5,2278825,32
2010-02-03,DKI1,898883,33
2010-02-03,DKI2,1645312,33
2010-02-03,DKI3,2057080,33
2010-02-03,DKI4,2687027,33
2010-02-03,DKI5,2278825,33
2010-02-04,DKI1,898883,34
2010-02-04,DKI2,1645312,34
2010-02-04,DKI3,2057080,34
2010-02-04,DKI4,2687027,34
2010-02-04,DKI5,2278825,34
2010-02-05,DKI1,898883,35
2010-02-05,DKI2,1645312,35
2010-02-05,DKI3,2057080,35
2010-02-05,DKI4,2687027,35
2010-02-05,DKI5,2278825,35
2010-02-06,DKI1,898883,36
2010-02-06,DKI2,1645312,36
2010-02-06,DKI3,2057080,36
2010-02-06,DKI4,2687027,36
2010-02-06,DKI5,2278825,36
2010-02-07,DKI1,898883,37
2010-02-07,DKI2,1645312,37
2010-02-07,DKI3,2057080,37
2010-02-07,DKI4,2687027,37
2010-02-07,DKI5,2278825,37
2010-02-08,DKI1,898883,38
2010-02-08,DKI2,1645312,38
2010-02-08,DKI3,2057080,38
2010-02-08,DKI4,2687027,38
2010-02-08,DKI5,2278825,38
2010-02-09,DKI1,898883,39
2010-02-09,DKI2,1645312,39
2010-02-09,DKI3,2057080,39
2010-02-09,DKI4,2687027,39
2010-02-09,DKI5,2278825,39
2010-02-10,DKI1,898883,40
2010-02-10,DKI2,1645312,40
2010-02-10,DKI3,2057080,40
2010-02-10,DKI4,2687027,40
2010-02-10,DKI5,2278825,40
2010-02-11,DKI1,898883,41
2010-02-11,DKI2,1645312,41
2010-02-11,DKI3,2057080,41
2010-02-11,DKI4,2687027,41
2010-02-11,DKI5,2278825,41
2010-02-12,DKI1,898883,42
2010-02-12,DKI2,1645312,42
2010-02-12,DKI3,2057080,42
2010-02-12,DKI4,2687027,42
2010-02-12,DKI5,2278825,42
2010-02-13,DKI1,898883,43
2010-02-13,DKI2,1645312,43
2010-02-13,DKI3,2057080,43
2010-02-13,DKI4,2687027,43
2010-02-13,DKI5,2278825,43
2010-02-14,DKI1,898883,44
2010-02-14,DKI2,1645312,44
2010-02-14,DKI3,2057080,44
2010-02-14,DKI4,2687027,44
2010-02-14,DKI5,2278825,44
2010-02-15,DKI1,898883,45
2010-02-15,DKI2,1645312,45
2010-02-15,DKI3,2057080,45
2010-02-15,DKI4,2687027,45
2010-02-15,DKI5,2278825,45
2010-02-16,DKI1,898883,46
2010-02-16,DKI2,1645312,46
2010-02-16,DKI3,2057080,46
2010-02-16,DKI4,2687027,46
2010-02-16,DKI5,2278825,46
2010-02-17,DKI1,898883,47
2010-02-17,DKI2,1645312,47
2010-02-17,DKI3,2057080,47
2010-02-17,DKI4,2687027,47
2010-02-17,DKI5,2278825,47
2010-02-18,DKI1,898883,48
2010-02-18,DKI2,1645312,48
2010-02-18,DKI3,2057080,48
2010-02-18,DKI4,2687027,48
2010-02-18,DKI5,2278825,48
2010-02-19,DKI1,898883,49
2010-02-19,DKI2,1645312,49
2010-02-19,DKI3,2057080,49
2010-02-19,DKI4,2687027,49
2010-02-19,DKI5,2278825,49
2010-02-20,DKI1,898883,50
2010-02-20,DKI2,1645312,50
2010-02-20,DKI3,2057080,50
2010-02-20,DKI4,2687027,50
2010-02-20,DKI5,2278825,50
2010-02-21,DKI1,898883,51
2010-02-21,DKI2,1645312,51
2010-02-21,DKI3,2057080,51
2010-02-21,DKI4,2687027,51
2010-02-21,DKI5,2278825,51
2010-02-22,DKI1,898883,52
2010-02-22,DKI2,1645312,52
2010-02-22,DKI3,2057080,52
2010-02-22,DKI4,2687027,52
2010-02-22,DKI5,2278825,52
2010-02-23,DKI1,898883,53
2010-02-23,DKI2,1645312,53
2010-02-23,DKI3,2057080,53
2010-02-23,DKI4,2687027,53
2010-02-23,DKI5,2278825,53
2010-02-24,DKI1,898883,54
2010-02-24,DKI2,1645312,54
2010-02-24,DKI3,2057080,54
2010-02-24,DKI4,2687027,54
2010-02-24,DKI5,2278825,54
2010-02-25,DKI1,898883,55
2010-02-25,DKI2,1645312,55
2010-02-25,DKI3,2057080,55
2010-02-25,DKI4,2687027,55
2010-02-25,DKI5,2278825,55
2010-02-26,DKI1,898883,56
2010-02-26,DKI2,1645312,56
2010-02-26,DKI3,2057080,56
2010-02-26,DKI4,2687027,56
2010-02-26,DKI5,2278825,56
2010-02-27,DKI1,898883,57
2010-02-27,DKI2,1645312,57
2010-02-27,DKI3,2057080,57
2010-02-27,DKI4,2687027,57
2010-02-27,DKI5,2278825,57
2010-02-28,DKI1,898883,58
2010-02-28,DKI2,1645312,58
2010-02-28,DKI3,2057080,58
2010-02-28,DKI4,2687027,58
2010-02-28,DKI5,2278825,58
2010-03-01,DKI1,898883,59
2010-03-01,DKI2,1645312,59
2010-03-01,DKI3,2057080,59
2010-03-01,DKI4,2687027,59
2010-03-01,DKI5,2278825,59
2010-03-02,DKI1,898883,60
2010-03-02,DKI2,1645312,60
2010-03-02,DKI3,2057080,60
2010-03-02,DKI4,2687027,60
2010-03-02,DKI5,2278825,60
2010-03-03,DKI1,898883,61
2010-03-03,DKI2,1645312,61
2010-03-03,DKI3,2057080,61
2010-03-03,DKI4,2687027,61
2010-03-03,DKI5,2278825,61
2010-03-04,DKI1,898883,62
2010-03-04,DKI2,1645312,62
2010-03-04,DKI3,2057080,62
2010-03-04,DKI4,2687027,62
2010-03-04,DKI5,2278825,62
2010-03-05,DKI1,898883,63
2010-03-05,DKI2,1645312,63
2010-03-05,DKI3,2057080,63
2010-03-05,DKI4,2687027,63
2010-03-05,DKI5,2278825,63
2010-03-06,DKI1,898883,64
2010-03-06,DKI2,1645312,64
2010-03-06,DKI3,2057080,64
2010-03-06,DKI4,2687027,64
2010-03-06,DKI5,2278825,64
2010-03-07,DKI1,898883,65
2010-03-07,DKI2,1645312,65
2010-03-07,DKI3,2057080,65
2010-03-07,DKI4,2687027,65
2010-03-07,DKI5,2278825,65
2010-03-08,DKI1,898883,66
2010-03-08,DKI2,1645312,66
2010-03-08,DKI3,2057080,66
2010-03-08,DKI4,2687027,66
2010-03-08,DKI5,2278825,66
2010-03-09,DKI1,898883,67
2010-03-09,DKI2,1645312,67
2010-03-09,DKI3,2057080,67
2010-03-09,DKI4,2687027,67
2010-03-09,DKI5,2278825,67
2010-03-10,DKI1,898883,68
2010-03-10,DKI2,1645312,68
2010-03-10,DKI3,2057080,68
2010-03-10,DKI4,2687027,68
2010-03-10,DKI5,2278825,68
2010-03-11,DKI1,898883,69
2010-03-11,DKI2,1645312,69
2010-03-11,DKI3,2057080,69
2010-03-11,DKI4,2687027,69
2010-03-11,DKI5,2278825,69
2010-03-12,DKI1,898883,70
2010-03-12,DKI2,1645312,70
2010-03-12,DKI3,2057080,70
2010-03-12,DKI4,2687027,70
2010-03-12,DKI5,2278825,70
2010-03-13,DKI1,898883,71
2010-03-13,DKI2,1645312,71
2010-03-13,DKI3,2057080,71
2010-03-13,DKI4,2687027,71
2010-03-13,DKI5,2278825,71
2010-03-14,DKI1,898883,72
2010-03-14,DKI2,1645312,72
2010-03-14,DKI3,2057080,72
2010-03-14,DKI4,2687027,72
2010-03-14,DKI5,2278825,72
2010-03-15,DKI1,898883,73
2010-03-15,DKI2,1645312,73
2010-03-15,DKI3,2057080,73
2010-03-15,DKI4,2687027,73
2010-03-15,DKI5,2278825,73
2010-03-16,DKI1,898883,74
2010-03-16,DKI2,1645312,74
2010-03-16,DKI3,2057080,74
2010-03-16,DKI4,2687027,74
2010-03-16,DKI5,2278825,74
2010-03-17,DKI1,898883,75
2010-03-17,DKI2,1645312,75
2010-03-17,DKI3,2057080,75
2010-03-17,DKI4,2687027,75
2010-03-17,DKI5,2278825,75
2010-03-18,DKI1,898883,76
2010-03-18,DKI2,1645312,76
2010-03-18,DKI3,2057080,76
2010-03-18,DKI4,2687027,76
2010-03-18,DKI5,2278825,76
2010-03-19,DKI1,898883,77
2010-03-19,DKI2,1645312,77
2010-03-19,DKI3,2057080,77
2010-03-19,DKI4,2687027,77
2010-03-19,DKI5,2278825,77
2010-03-20,DKI1,898883,78
2010-03-20,DKI2,1645312,78
2010-03-20,DKI3,2057080,78
2010-03-20,DKI4,2687027,78
2010-03-20,DKI5,2278825,78
2010-03-21,DKI1,898883,79
2010-03-21,DKI2,1645312,79
2010-03-21,DKI3,2057080,79
2010-03-21,DKI4,2687027,79
2010-03-21,DKI5,2278825,79
2010-03-22,DKI1,898883,80
2010-03-22,DKI2,1645312,80
2010-03-22,DKI3,2057080,80
2010-03-22,DKI4,2687027,80
2010-03-22,DKI5,2278825,80
2010-03-23,DKI1,898883,81
2010-03-23,DKI2,1645312,81
2010-03-23,DKI3,2057080,81
2010-03-23,DKI4,2687027,81
2010-03-23,DKI5,2278825,81
2010-03-24,DKI1,898883,82
2010-03-24,DKI2,1645312,82
2010-03-24,DKI3,2057080,82
2010-03-24,DKI4,2687027,82
2010-03-24,DKI5,2278825,82
2010-03-25,DKI1,898883,83
2010-03-25,DKI2,1645312,83
2010-03-25,DKI3,2057080,83
2010-03-25,DKI4,2687027,83
2010-03-25,DKI5,2278825,83
2010-03-26,DKI1,898883,84
2010-03-26,DKI2,1645312,84
2010-03-26,DKI3,2057080,84
2010-03-26,DKI4,2687027,84
2010-03-26,DKI5,2278825,84
2010-03-27,DKI1,898883,85
2010-03-27,DKI2,1645312,85
2010-03-27,DKI3,2057080,85
2010-03-27,DKI4,2687027,85
2010-03-27,DKI5,2278825,85
2010-03-28,DKI1,898883,86
2010-03-28,DKI2,1645312,86
2010-03-28,DKI3,2057080,86
2010-03-28,DKI4,2687027,86
2010-03-28,DKI5,2278825,86
2010-03-29,DKI1,898883,87
2010-03-29,DKI2,1645312,87
2010-03-29,DKI3,2057080,87
2010-03-29,DKI4,2687027,87
2010-03-29,DKI5,2278825,87
2010-03-30,DKI1,898883,88
2010-03-30,DKI2,1645312,88
2010-03-30,DKI3,2057080,88
2010-03-30,DKI4,2687027,88
2010-03-30,DKI5,2278825,88
2010-03-31,DKI1,898883,89
2010-03-31,DKI2,1645312,89
2010-03-31,DKI3,2057080,89
2010-03-31,DKI4,2687027,89
2010-03-31,DKI5,2278825,89
2010-04-01,DKI1,898883,90
2010-04-01,DKI2,1645312,90
2010-04-01,DKI3,2057080,90
2010-04-01,DKI4,2687027,90
2010-04-01,DKI5,2278825,90
2010-04-02,DKI1,898883,91
2010-04-02,DKI2,1645312,91
2010-04-02,DKI3,2057080,91
2010-04-02,DKI4,2687027,91
2010-04-02,DKI5,2278825,91
2010-04-03,DKI1,898883,92
2010-04-03,DKI2,1645312,92
2010-04-03,DKI3,2057080,92
2010-04-03,DKI4,2687027,92
2010-04-03,DKI5,2278825,92
2010-04-04,DKI1,898883,93
2010-04-04,DKI2,1645312,93
2010-04-04,DKI3,2057080,93
2010-04-04,DKI4,2687027,93
2010-04-04,DKI5,2278825,93
2010-04-05,DKI1,898883,94
2010-04-05,DKI2,1645312,94
2010-04-05,DKI3,2057080,94
2010-04-05,DKI4,2687027,94
2010-04-05,DKI5,2278825,94
2010-04-06,DKI1,898883,95
2010-04-06,DKI2,1645312,95
2010-04-06,DKI3,2057080,95
2010-04-06,DKI4,2687027,95
2010-04-06,DKI5,2278825,95
2010-04-07,DKI1,898883,96
2010-04-07,DKI2,1645312,96
2010-04-07,DKI3,2057080,96
2010-04-07,DKI4,2687027,96
2010-04-07,DKI5,2278825,96
2010-04-08,DKI1,898883,97
2010-04-08,DKI2,1645312,97
2010-04-08,DKI3,2057080,97
2010-04-08,DKI4,2687027,97
2010-04-08,DKI5,2278825,97
2010-04-09,DKI1,898883,98
2010-04-09,DKI2,1645312,98
2010-04-09,DKI3,2057080,98
2010-04-09,DKI4,2687027,98
2010-04-09,DKI5,2278825,98
2010-04-10,DKI1,898883,99
2010-04-10,DKI2,1645312,99
2010-04-10,DKI3,2057080,99
2010-04-10,DKI4,2687027,99
2010-04-10,DKI5,2278825,99
2010-04-11,DKI1,898883,100
2010-04-11,DKI2,1645312,100
2010-04-11,DKI3,2057080,100
2010-04-11,DKI4,2687027,100
2010-04-11,DKI5,2278825,100
2010-04-12,DKI1,898883,101
2010-04-12,DKI2,1645312,101
2010-04-12,DKI3,2057080,101
2010-04-12,DKI4,2687027,101
2010-04-12,DKI5,2278825,101
2010-04-13,DKI1,898883,102
2010-04-13,DKI2,1645312,102
2010-04-13,DKI3,2057080,102
2010-04-13,DKI4,2687027,102
2010-04-13,DKI5,2278825,102
2010-04-14,DKI1,898883,103
2010-04-14,DKI2,1645312,103
2010-04-14,DKI3,2057080,103
2010-04-14,DKI4,2687027,103
2010-04-14,DKI5,2278825,103
2010-04-15,DKI1,898883,104
2010-04-15,DKI2,1645312,104
2010-04-15,DKI3,2057080,104
2010-04-15,DKI4,2687027,104
2010-04-15,DKI5,2278825,104
2010-04-16,DKI1,898883,105
2010-04-16,DKI2,1645312,105
2010-04-16,DKI3,2057080,105
2010-04-16,DKI4,2687027,105
2010-04-16,DKI5,2278825,105
2010-04-17,DKI1,898883,106
2010-04-17,DKI2,1645312,106
2010-04-17,DKI3,2057080,106
2010-04-17,DKI4,2687027,106
2010-04-17,DKI5,2278825,106
2010-04-18,DKI1,898883,107
2010-04-18,DKI2,1645312,107
2010-04-18,DKI3,2057080,107
2010-04-18,DKI4,2687027,107
2010-04-18,DKI5,2278825,107
2010-04-19,DKI1,898883,108
2010-04-19,DKI2,1645312,108
2010-04-19,DKI3,2057080,108
2010-04-19,DKI4,2687027,108
2010-04-19,DKI5,2278825,108
2010-04-20,DKI1,898883,109
2010-04-20,DKI2,1645312,109
2010-04-20,DKI3,2057080,109
2010-04-20,DKI4,2687027,109
2010-04-20,DKI5,2278825,109
2010-04-21,DKI1,898883,110
2010-04-21,DKI2,1645312,110
2010-04-21,DKI3,2057080,110
2010-04-21,DKI4,2687027,110
2010-04-21,DKI5,2278825,110
2010-04-22,DKI1,898883,111
2010-04-22,DKI2,1645312,111
2010-04-22,DKI3,2057080,111
2010-04-22,DKI4,2687027,111
2010-04-22,DKI5,2278825,111
2010-04-23,DKI1,898883,112
2010-04-23,DKI2,1645312,112
2010-04-23,DKI3,2057080,112
2010-04-23,DKI4,2687027,112
2010-04-23,DKI5,2278825,112
2010-04-24,DKI1,898883,113
2010-04-24,DKI2,1645312,113
2010-04-24,DKI3,2057080,113
2010-04-24,DKI4,2687027,113
2010-04-24,DKI5,2278825,113
2010-04-25,DKI1,898883,114
2010-04-25,DKI2,1645312,114
2010-04-25,DKI3,2057080,114
2010-04-25,DKI4,2687027,114
2010-04-25,DKI5,2278825,114
2010-04-26,DKI1,898883,115
2010-04-26,DKI2,1645312,115
2010-04-26,DKI3,2057080,115
2010-04-26,DKI4,2687027,115
2010-04-26,DKI5,2278825,115
2010-04-27,DKI1,898883,116
2010-04-27,DKI2,1645312,116
2010-04-27,DKI3,2057080,116
2010-04-27,DKI4,2687027,116
2010-04-27,DKI5,2278825,116
2010-04-28,DKI1,898883,117
2010-04-28,DKI2,1645312,117
2010-04-28,DKI3,2057080,117
2010-04-28,DKI4,2687027,117
2010-04-28,DKI5,2278825,117
2010-04-29,DKI1,898883,118
2010-04-29,DKI2,1645312,118
2010-04-29,DKI3,2057080,118
2010-04-29,DKI4,2687027,118
2010-04-29,DKI5,2278825,118
2010-04-30,DKI1,898883,119
2010-04-30,DKI2,1645312,119
2010-04-30,DKI3,2057080,119
2010-04-30,DKI4,2687027,119
2010-04-30,DKI5,2278825,119
2010-05-01,DKI1,898883,120
2010-05-01,DKI2,1645312,120
2010-05-01,DKI3,2057080,120
2010-05-01,DKI4,2687027,120
2010-05-01,DKI5,2278825,120
2010-05-02,DKI1,898883,121
2010-05-02,DKI2,1645312,121
2010-05-02,DKI3,2057080,121
2010-05-02,DKI4,2687027,121
2010-05-02,DKI5,2278825,121
2010-05-03,DKI1,898883,122
2010-05-03,DKI2,1645312,122
2010-05-03,DKI3,2057080,122
2010-05-03,DKI4,2687027,122
2010-05-03,DKI5,2278825,122
2010-05-04,DKI1,898883,123
2010-05-04,DKI2,1645312,123
2010-05-04,DKI3,2057080,123
2010-05-04,DKI4,2687027,123
2010-05-04,DKI5,2278825,123
2010-05-05,DKI1,898883,124
2010-05-05,DKI2,1645312,124
2010-05-05,DKI3,2057080,124
2010-05-05,DKI4,2687027,124
2010-05-05,DKI5,2278825,124
2010-05-06,DKI1,898883,125
2010-05-06,DKI2,1645312,125
2010-05-06,DKI3,2057080,125
2010-05-06,DKI4,2687027,125
2010-05-06,DKI5,2278825,125
2010-05-07,DKI1,898883,126
2010-05-07,DKI2,1645312,126
2010-05-07,DKI3,2057080,126
2010-05-07,DKI4,2687027,126
2010-05-07,DKI5,2278825,126
2010-05-08,DKI1,898883,127
2010-05-08,DKI2,1645312,127
2010-05-08,DKI3,2057080,127
2010-05-08,DKI4,2687027,127
2010-05-08,DKI5,2278825,127
2010-05-09,DKI1,898883,128
2010-05-09,DKI2,1645312,128
2010-05-09,DKI3,2057080,128
2010-05-09,DKI4,2687027,128
2010-05-09,DKI5,2278825,128
2010-05-10,DKI1,898883,129
2010-05-10,DKI2,1645312,129
2010-05-10,DKI3,2057080,129
2010-05-10,DKI4,2687027,129
2010-05-10,DKI5,2278825,129
2010-05-11,DKI1,898883,130
2010-05-11,DKI2,1645312,130
2010-05-11,DKI3,2057080,130
2010-05-11,DKI4,2687027,130
2010-05-11,DKI5,2278825,130
2010-05-12,DKI1,898883,131
2010-05-12,DKI2,1645312,131
2010-05-12,DKI3,2057080,131
2010-05-12,DKI4,2687027,131
2010-05-12,DKI5,2278825,131
2010-05-13,DKI1,898883,132
2010-05-13,DKI2,1645312,132
2010-05-13,DKI3,2057080,132
2010-05-13,DKI4,2687027,132
2010-05-13,DKI5,2278825,132
2010-05-14,DKI1,898883,133
2010-05-14,DKI2,1645312,133
2010-05-14,DKI3,2057080,133
2010-05-14,DKI4,2687027,133
2010-05-14,DKI5,2278825,133
2010-05-15,DKI1,898883,134
2010-05-15,DKI2,1645312,134
2010-05-15,DKI3,2057080,134
2010-05-15,DKI4,2687027,134
2010-05-15,DKI5,2278825,134
2010-05-16,DKI1,898883,135
2010-05-16,DKI2,1645312,135
2010-05-16,DKI3,2057080,135
2010-05-16,DKI4,2687027,135
2010-05-16,DKI5,2278825,135
2010-05-17,DKI1,898883,136
2010-05-17,DKI2,1645312,136
2010-05-17,DKI3,2057080,136
2010-05-17,DKI4,2687027,136
2010-05-17,DKI5,2278825,136
2010-05-18,DKI1,898883,137
2010-05-18,DKI2,1645312,137
2010-05-18,DKI3,2057080,137
2010-05-18,DKI4,2687027,137
2010-05-18,DKI5,2278825,137
2010-05-19,DKI1,898883,138
2010-05-19,DKI2,1645312,138
2010-05-19,DKI3,2057080,138
2010-05-19,DKI4,2687027,138
2010-05-19,DKI5,2278825,138
2010-05-20,DKI1,898883,139
2010-05-20,DKI2,1645312,139
2010-05-20,DKI3,2057080,139
2010-05-20,DKI4,2687027,139
2010-05-20,DKI5,2278825,139
2010-05-21,DKI1,898883,140
2010-05-21,DKI2,1645312,140
2010-05-21,DKI3,2057080,140
2010-05-21,DKI4,2687027,140
2010-05-21,DKI5,2278825,140
2010-05-22,DKI1,898883,141
2010-05-22,DKI2,1645312,141
2010-05-22,DKI3,2057080,141
2010-05-22,DKI4,2687027,141
2010-05-22,DKI5,2278825,141
2010-05-23,DKI1,898883,142
2010-05-23,DKI2,1645312,142
2010-05-23,DKI3,2057080,142
2010-05-23,DKI4,2687027,142
2010-05-23,DKI5,2278825,142
2010-05-24,DKI1,898883,143
2010-05-24,DKI2,1645312,143
2010-05-24,DKI3,2057080,143
2010-05-24,DKI4,2687027,143
2010-05-24,DKI5,2278825,143
2010-05-25,DKI1,898883,144
2010-05-25,DKI2,1645312,144
2010-05-25,DKI3,2057080,144
2010-05-25,DKI4,2687027,144
2010-05-25,DKI5,2278825,144
2010-05-26,DKI1,898883,145
2010-05-26,DKI2,1645312,145
2010-05-26,DKI3,2057080,145
2010-05-26,DKI4,2687027,145
2010-05-26,DKI5,2278825,145
2010-05-27,DKI1,898883,146
2010-05-27,DKI2,1645312,146
2010-05-27,DKI3,2057080,146
2010-05-27,DKI4,2687027,146
2010-05-27,DKI5,2278825,146
2010-05-28,DKI1,898883,147
2010-05-28,DKI2,1645312,147
2010-05-28,DKI3,2057080,147
2010-05-28,DKI4,2687027,147
2010-05-28,DKI5,2278825,147
2010-05-29,DKI1,898883,148
2010-05-29,DKI2,1645312,148
2010-05-29,DKI3,2057080,148
2010-05-29,DKI4,2687027,148
2010-05-29,DKI5,2278825,148
2010-05-30,DKI1,898883,149
2010-05-30,DKI2,1645312,149
2010-05-30,DKI3,2057080,149
2010-05-30,DKI4,2687027,149
2010-05-30,DKI5,2278825,149
2010-05-31,DKI1,898883,150
2010-05-31,DKI2,1645312,150
2010-05-31,DKI3,2057080,150
2010-05-31,DKI4,2687027,150
2010-05-31,DKI5,2278825,150
2010-06-01,DKI1,898883,151
2010-06-01,DKI2,1645312,151
2010-06-01,DKI3,2057080,151
2010-06-01,DKI4,2687027,151
2010-06-01,DKI5,2278825,151
2010-06-02,DKI1,898883,152
2010-06-02,DKI2,1645312,152
2010-06-02,DKI3,2057080,152
2010-06-02,DKI4,2687027,152
2010-06-02,DKI5,2278825,152
2010-06-03,DKI1,898883,153
2010-06-03,DKI2,1645312,153
2010-06-03,DKI3,2057080,153
2010-06-03,DKI4,2687027,153
2010-06-03,DKI5,2278825,153
2010-06-04,DKI1,898883,154
2010-06-04,DKI2,1645312,154
2010-06-04,DKI3,2057080,154
2010-06-04,DKI4,2687027,154
2010-06-04,DKI5,2278825,154
2010-06-05,DKI1,898883,155
2010-06-05,DKI2,1645312,155
2010-06-05,DKI3,2057080,155
2010-06-05,DKI4,2687027,155
2010-06-05,DKI5,2278825,155
2010-06-06,DKI1,898883,156
2010-06-06,DKI2,1645312,156
2010-06-06,DKI3,2057080,156
