ID,periode_data,tanggal,stasiun,pm_sepuluh,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori
2015-01-25_DKI3,201501,2015-01-25,DKI3,35,11,29,67,18,67,O3,SEDANG
2015-01-26_DKI3,201501,2015-01-26,DKI3,53,14,41,59,14,59,O3,SEDANG
2015-01-27_DKI5,201501,2015-01-27,DKI5,68,12,51,49,13,68,PM10,SEDANG
2015-01-28_DKI3,201501,2015-01-28,DKI3,57,14,46,65,15,65,O3,SEDANG
2015-01-29_DKI3,201501,2015-01-29,DKI3,55,13,34,61,17,61,O3,SEDANG
2015-01-30_DKI1,201501,2015-01-30,DKI1,52,12,46,50,13,52,PM10,SEDANG
2015-01-31_DKI1,201501,2015-01-31,DKI1,54,14,32,41,15,54,PM10,SEDANG
2015-02-01_DKI1,201202,2015-02-01,DKI1,42,7,30,42,12,42,PM10,BAIK
2015-02-02_DKI5,201202,2015-02-02,DKI5,50,6,49,42,21,50,PM10,BAIK
2015-02-03_DKI5,201202,2015-02-03,DKI5,76,8,69,50,15,76,PM10,SEDANG
2015-02-04_DKI5,201202,2015-02-04,DKI5,68,10,59,55,23,68,PM10,SEDANG
2015-02-05_DKI3,201202,2015-02-05,DKI3,47,9,33,58,17,58,O3,SEDANG
2015-02-06_DKI3,201202,2015-02-06,DKI3,30,8,52,49,13,52,CO,SEDANG
2015-02-07_DKI3,201202,2015-02-07,DKI3,51,9,33,53,15,53,O3,SEDANG
2015-02-08_DKI1,201202,2015-02-08,DKI1,49,9,34,46,12,49,PM10,BAIK
2015-02-09_DKI3,201202,2015-02-09,DKI3,27,8,45,36,14,45,CO,BAIK
2015-02-10_DKI3,201202,2015-02-10,DKI3,23,9,42,46,11,46,O3,BAIK
2015-02-11_DKI3,201202,2015-02-11,DKI3,56,9,68,40,11,68,CO,SEDANG
2015-02-12_DKI5,201202,2015-02-12,DKI5,72,10,54,50,22,72,PM10,SEDANG
2015-02-13_DKI3,201202,2015-02-13,DKI3,48,10,37,48,15,48,PM10,BAIK
2015-02-14_DKI5,201202,2015-02-14,DKI5,58,13,57,48,16,58,PM10,SEDANG
2015-02-15_DKI3,201202,2015-02-15,DKI3,67,13,71,44,12,71,CO,SEDANG
2015-02-16_DKI3,201202,2015-02-16,DKI3,69,13,56,72,18,72,O3,SEDANG
2015-02-17_DKI3,201202,2015-02-17,DKI3,49,13,57,63,13,63,O3,SEDANG
2015-02-18_DKI4,201202,2015-02-18,DKI4,56,19,48,66,24,66,O3,SEDANG
2015-02-19_DKI3,201202,2015-02-19,DKI3,40,13,34,42,13,42,O3,BAIK
2015-02-20_DKI3,201202,2015-02-20,DKI3,52,24,42,68,20,68,O3,SEDANG
2015-02-21_DKI4,201202,2015-02-21,DKI4,98,15,60,62,27,98,PM10,SEDANG
2015-02-22_DKI4,201202,2015-02-22,DKI4,71,15,37,57,23,71,PM10,SEDANG
2015-02-23_DKI4,201202,2015-02-23,DKI4,63,16,32,46,15,63,PM10,SEDANG
2015-02-24_DKI3,201202,2015-02-24,DKI3,70,17,42,70,17,70,PM10,SEDANG
2015-02-25_DKI3,201202,2015-02-25,DKI3,85,20,45,121,18,121,O3,TIDAK SEHAT
2015-02-26_DKI3,201202,2015-02-26,DKI3,87,19,35,147,31,147,O3,TIDAK SEHAT
2015-02-27_DKI3,201202,2015-02-27,DKI3,83,16,38,129,21,129,O3,TIDAK SEHAT
2015-02-28_DKI4,201202,2015-02-28,DKI4,78,17,43,65,19,78,PM10,SEDANG
2015-03-01_DKI4,201503,2015-03-01,DKI4,86,16,48,39,16,86,PM10,SEDANG
2015-03-02_DKI1,201503,2015-03-02,DKI1,57,17,40,41,18,57,PM10,SEDANG
2015-03-03_DKI1,201503,2015-03-03,DKI1,62,19,33,50,18,62,PM10,SEDANG
2015-03-04_DKI1,201503,2015-03-04,DKI1,59,16,41,38,19,59,PM10,SEDANG
2015-03-05_DKI1,201503,2015-03-05,DKI1,51,14,29,44,15,51,PM10,SEDANG
2015-03-06_DKI5,201503,2015-03-06,DKI5,66,17,44,70,18,70,O3,SEDANG
2015-03-07_DKI4,201503,2015-03-07,DKI4,53,15,27,59,20,59,O3,SEDANG
2015-03-08_DKI4,201503,2015-03-08,DKI4,46,14,36,36,17,46,PM10,BAIK
2015-03-09_DKI5,201503,2015-03-09,DKI5,51,15,33,45,17,51,PM10,SEDANG
2015-03-10_DKI5,201503,2015-03-10,DKI5,49,14,36,63,25,63,O3,SEDANG
2015-03-11_DKI3,201503,2015-03-11,DKI3,44,14,27,62,15,62,O3,SEDANG
2015-03-12_DKI4,201503,2015-03-12,DKI4,43,16,29,48,12,48,O3,BAIK
2015-03-13_DKI1,201503,2015-03-13,DKI1,66,16,61,49,24,66,PM10,SEDANG
2015-03-14_DKI4,201503,2015-03-14,DKI4,72,17,44,52,13,72,PM10,SEDANG
2015-03-15_DKI1,201503,2015-03-15,DKI1,64,16,30,49,14,64,PM10,SEDANG
2015-03-16_DKI4,201503,2015-03-16,DKI4,55,14,52,71,19,71,O3,SEDANG
2015-03-17_DKI4,201503,2015-03-17,DKI4,66,20,46,85,21,85,O3,SEDANG
2015-03-18_DKI2,201503,2015-03-18,DKI2,75,22,35,104,25,104,O3,TIDAK SEHAT
2015-03-19_DKI3,201503,2015-03-19,DKI3,68,16,33,130,26,130,O3,TIDAK SEHAT
2015-03-20_DKI2,201503,2015-03-20,DKI2,57,15,30,127,30,127,O3,TIDAK SEHAT
2015-03-21_DKI3,201503,2015-03-21,DKI3,52,14,30,92,16,92,O3,SEDANG
2015-03-22_DKI3,201503,2015-03-22,DKI3,63,16,36,113,17,113,O3,TIDAK SEHAT
2015-03-23_DKI5,201503,2015-03-23,DKI5,53,17,33,155,28,155,O3,TIDAK SEHAT
2015-03-24_DKI3,201503,2015-03-24,DKI3,76,17,46,94,20,94,O3,SEDANG
2015-03-25_DKI4,201503,2015-03-25,DKI4,75,21,44,57,20,75,PM10,SEDANG
2015-03-26_DKI2,201503,2015-03-26,DKI2,66,15,43,62,21,66,PM10,SEDANG
2015-03-27_DKI3,201503,2015-03-27,DKI3,67,17,58,83,20,83,O3,SEDANG
2015-03-28_DKI3,201503,2015-03-28,DKI3,68,17,33,77,17,77,O3,SEDANG
2015-03-29_DKI4,201503,2015-03-29,DKI4,78,15,53,74,12,78,PM10,SEDANG
2015-03-30_DKI3,201503,2015-03-30,DKI3,69,14,47,76,17,76,O3,SEDANG
2015-03-31_DKI4,201503,2015-03-31,DKI4,80,17,29,72,18,80,PM10,SEDANG
2015-04-01_DKI2,201504,2015-04-01,DKI2,65,19,37,80,21,80,O3,SEDANG
2015-04-02_DKI2,201504,2015-04-02,DKI2,67,13,45,88,22,88,O3,SEDANG
2015-04-03_DKI3,201504,2015-04-03,DKI3,51,14,50,54,17,54,O3,SEDANG
2015-04-04_DKI2,201504,2015-04-04,DKI2,75,18,52,108,21,108,O3,TIDAK SEHAT
2015-04-05_DKI5,201504,2015-04-05,DKI5,75,19,45,77,23,77,O3,SEDANG
2015-04-06_DKI4,201504,2015-04-06,DKI4,71,17,41,61,20,71,PM10,SEDANG
2015-04-07_DKI4,201504,2015-04-07,DKI4,57,17,29,33,12,57,PM10,SEDANG
2015-04-08_DKI2,201504,2015-04-08,DKI2,65,15,46,86,19,86,O3,SEDANG
2015-04-09_DKI2,201504,2015-04-09,DKI2,69,14,42,86,23,86,O3,SEDANG
2015-04-10_DKI3,201504,2015-04-10,DKI3,87,18,64,87,39,87,PM10,SEDANG
2015-04-11_DKI2,201504,2015-04-11,DKI2,59,17,36,62,15,62,O3,SEDANG
2015-04-12_DKI3,201504,2015-04-12,DKI3,62,22,35,88,25,88,O3,SEDANG
2015-04-13_DKI1,201504,2015-04-13,DKI1,74,21,35,65,17,74,PM10,SEDANG
2015-04-14_DKI4,201504,2015-04-14,DKI4,74,22,54,67,30,74,PM10,SEDANG
2015-04-15_DKI3,201504,2015-04-15,DKI3,64,17,37,83,19,83,O3,SEDANG
2015-04-16_DKI3,201504,2015-04-16,DKI3,73,18,36,87,21,87,O3,SEDANG
2015-04-17_DKI2,201504,2015-04-17,DKI2,64,18,37,54,16,64,PM10,SEDANG
2015-04-18_DKI4,201504,2015-04-18,DKI4,84,22,47,74,19,84,PM10,SEDANG
2015-04-19_DKI2,201504,2015-04-19,DKI2,83,18,48,111,21,111,O3,TIDAK SEHAT
2015-04-20_DKI1,201504,2015-04-20,DKI1,61,22,42,98,21,98,O3,SEDANG
2015-04-21_DKI3,201504,2015-04-21,DKI3,76,25,45,101,30,101,O3,TIDAK SEHAT
2015-04-22_DKI3,201504,2015-04-22,DKI3,71,17,36,119,19,119,O3,TIDAK SEHAT
2015-04-23_DKI1,201504,2015-04-23,DKI1,40,16,26,46,10,46,O3,BAIK
2015-04-24_DKI1,201504,2015-04-24,DKI1,34,15,28,39,7,39,O3,BAIK
2015-04-25_DKI1,201504,2015-04-25,DKI1,32,15,30,40,14,40,O3,BAIK
2015-04-26_DKI2,201504,2015-04-26,DKI2,53,16,39,43,16,53,PM10,SEDANG
2015-04-27_DKI4,201504,2015-04-27,DKI4,53,16,47,67,9,67,O3,SEDANG
2015-04-28_DKI4,201504,2015-04-28,DKI4,46,15,28,42,12,46,PM10,BAIK
2015-04-29_DKI4,201504,2015-04-29,DKI4,50,15,27,42,12,50,PM10,BAIK
2015-04-30_DKI2,201504,2015-04-30,DKI2,40,15,28,51,16,51,O3,SEDANG
2015-05-01_DKI2,201505,2015-05-01,DKI2,57,17,33,105,20,105,O3,TIDAK SEHAT
2015-05-02_DKI2,201505,2015-05-02,DKI2,82,19,53,99,16,99,O3,SEDANG
2015-05-03_DKI3,201505,2015-05-03,DKI3,65,21,35,96,22,96,O3,SEDANG
2015-05-04_DKI4,201505,2015-05-04,DKI4,55,19,43,71,16,71,O3,SEDANG
2015-05-05_DKI2,201505,2015-05-05,DKI2,73,22,61,62,23,73,PM10,SEDANG
2015-05-06_DKI2,201505,2015-05-06,DKI2,79,19,45,48,22,79,PM10,SEDANG
2015-05-07_DKI3,201505,2015-05-07,DKI3,59,18,29,67,15,67,O3,SEDANG
2015-05-08_DKI4,201505,2015-05-08,DKI4,72,22,27,53,15,72,PM10,SEDANG
2015-05-09_DKI2,201505,2015-05-09,DKI2,83,15,40,83,16,83,PM10,SEDANG
2015-05-10_DKI2,201505,2015-05-10,DKI2,57,19,28,76,19,76,O3,SEDANG
2015-05-11_DKI4,201505,2015-05-11,DKI4,65,23,28,47,30,65,PM10,SEDANG
2015-05-12_DKI2,201505,2015-05-12,DKI2,77,20,42,57,16,77,PM10,SEDANG
2015-05-13_DKI4,201505,2015-05-13,DKI4,75,24,33,63,43,75,PM10,SEDANG
2015-05-14_DKI4,201505,2015-05-14,DKI4,67,18,28,61,22,67,PM10,SEDANG
2015-05-15_DKI5,201505,2015-05-15,DKI5,60,17,38,53,63,63,NO2,SEDANG
2015-05-16_DKI4,201505,2015-05-16,DKI4,68,17,46,92,17,92,O3,SEDANG
2015-05-17_DKI4,201505,2015-05-17,DKI4,67,17,37,66,42,67,PM10,SEDANG
2015-05-18_DKI3,201505,2015-05-18,DKI3,77,18,32,77,30,77,PM10,SEDANG
2015-05-19_DKI3,201505,2015-05-19,DKI3,84,18,31,105,19,105,O3,TIDAK SEHAT
2015-05-20_DKI3,201505,2015-05-20,DKI3,83,18,30,97,22,97,O3,SEDANG
2015-05-21_DKI4,201505,2015-05-21,DKI4,87,18,32,84,19,87,PM10,SEDANG
2015-05-22_DKI5,201505,2015-05-22,DKI5,85,19,27,90,17,90,O3,SEDANG
2015-05-23_DKI4,201505,2015-05-23,DKI4,93,22,36,90,18,93,PM10,SEDANG
2015-05-24_DKI4,201505,2015-05-24,DKI4,87,24,34,77,17,87,PM10,SEDANG
2015-05-25_DKI3,201505,2015-05-25,DKI3,83,20,29,83,14,83,PM10,SEDANG
2015-05-26_DKI3,201505,2015-05-26,DKI3,78,19,41,85,17,85,O3,SEDANG
2015-05-27_DKI4,201505,2015-05-27,DKI4,96,20,32,74,16,96,PM10,SEDANG
2015-05-28_DKI4,201505,2015-05-28,DKI4,69,20,24,37,11,69,PM10,SEDANG
2015-05-29_DKI1,201505,2015-05-29,DKI1,64,20,30,64,22,64,PM10,SEDANG
2015-05-30_DKI2,201505,2015-05-30,DKI2,74,20,36,70,18,74,PM10,SEDANG
2015-05-31_DKI3,201505,2015-05-31,DKI3,70,20,53,83,14,83,O3,SEDANG
2015-06-01_DKI2,201506,2015-06-01,DKI2,74,20,35,53,17,74,PM10,SEDANG
2015-06-02_DKI4,201506,2015-06-02,DKI4,89,20,45,77,17,89,PM10,SEDANG
2015-06-03_DKI3,201506,2015-06-03,DKI3,61,19,30,84,16,84,O3,SEDANG
2015-06-04_DKI4,201506,2015-06-04,DKI4,79,19,42,60,12,79,PM10,SEDANG
2015-06-05_DKI4,201506,2015-06-05,DKI4,63,21,31,51,16,63,PM10,SEDANG
2015-06-06_DKI4,201506,2015-06-06,DKI4,79,25,42,60,22,79,PM10,SEDANG
2015-06-07_DKI4,201506,2015-06-07,DKI4,86,22,37,65,16,86,PM10,SEDANG
2015-06-08_DKI4,201506,2015-06-08,DKI4,85,21,45,54,15,85,PM10,SEDANG
2015-06-09_DKI4,201506,2015-06-09,DKI4,91,21,43,51,18,91,PM10,SEDANG
2015-06-10_DKI5,201506,2015-06-10,DKI5,78,27,49,93,21,93,O3,SEDANG
2015-06-11_DKI3,201506,2015-06-11,DKI3,71,19,44,90,28,90,O3,SEDANG
2015-06-12_DKI2,201506,2015-06-12,DKI2,86,24,43,107,19,107,O3,TIDAK SEHAT
2015-06-13_DKI5,201506,2015-06-13,DKI5,81,30,39,94,32,94,O3,SEDANG
2015-06-14_DKI3,201506,2015-06-14,DKI3,89,30,37,113,22,113,O3,TIDAK SEHAT
2015-06-15_DKI3,201506,2015-06-15,DKI3,85,28,36,108,26,108,O3,TIDAK SEHAT
2015-06-16_DKI3,201506,2015-06-16,DKI3,92,32,47,115,29,115,O3,TIDAK SEHAT
2015-06-17_DKI4,201506,2015-06-17,DKI4,115,37,48,78,25,115,PM10,TIDAK SEHAT
2015-06-18_DKI4,201506,2015-06-18,DKI4,83,34,29,80,19,83,PM10,SEDANG
2015-06-19_DKI2,201506,2015-06-19,DKI2,79,32,30,87,28,87,O3,SEDANG
2015-06-20_DKI4,201506,2015-06-20,DKI4,79,37,34,77,25,79,PM10,SEDANG
2015-06-21_DKI2,201506,2015-06-21,DKI2,92,31,28,99,17,99,O3,SEDANG
2015-06-22_DKI4,201506,2015-06-22,DKI4,98,26,31,97,20,98,PM10,SEDANG
2015-06-23_DKI4,201506,2015-06-23,DKI4,109,30,32,98,30,109,PM10,TIDAK SEHAT
2015-06-24_DKI3,201506,2015-06-24,DKI3,86,34,34,94,29,94,O3,SEDANG
2015-06-25_DKI5,201506,2015-06-25,DKI5,101,33,38,72,23,101,PM10,TIDAK SEHAT
2015-06-26_DKI5,201506,2015-06-26,DKI5,114,34,31,67,18,114,PM10,TIDAK SEHAT
2015-06-27_DKI5,201506,2015-06-27,DKI5,105,33,34,61,12,105,PM10,TIDAK SEHAT
2015-06-28_DKI2,201506,2015-06-28,DKI2,72,26,26,84,15,84,O3,SEDANG
2015-06-29_DKI4,201506,2015-06-29,DKI4,94,28,35,101,22,101,O3,TIDAK SEHAT
2015-06-30_DKI3,201506,2015-06-30,DKI3,95,31,33,101,22,101,O3,TIDAK SEHAT
2015-07-01_DKI4,201507,2015-07-01,DKI4,83,32,30,86,24,86,O3,SEDANG
2015-07-02_DKI4,201507,2015-07-02,DKI4,86,34,37,93,21,93,O3,SEDANG
2015-07-03_DKI5,201507,2015-07-03,DKI5,75,35,31,99,19,99,O3,SEDANG
2015-07-04_DKI3,201507,2015-07-04,DKI3,77,40,22,94,22,94,O3,SEDANG
2015-07-05_DKI5,201507,2015-07-05,DKI5,114,35,52,87,20,114,PM10,TIDAK SEHAT
2015-07-06_DKI3,201507,2015-07-06,DKI3,84,34,25,95,21,95,O3,SEDANG
2015-07-07_DKI3,201507,2015-07-07,DKI3,83,37,27,123,27,123,O3,TIDAK SEHAT
2015-07-08_DKI3,201507,2015-07-08,DKI3,81,33,26,109,21,109,O3,TIDAK SEHAT
2015-07-09_DKI3,201507,2015-07-09,DKI3,81,32,21,95,22,95,O3,SEDANG
2015-07-10_DKI3,201507,2015-07-10,DKI3,73,35,27,86,27,86,O3,SEDANG
2015-07-11_DKI3,201507,2015-07-11,DKI3,70,47,26,77,15,77,O3,SEDANG
2015-07-12_DKI3,201507,2015-07-12,DKI3,63,29,23,64,13,64,O3,SEDANG
2015-07-13_DKI5,201507,2015-07-13,DKI5,60,31,23,54,11,60,PM10,SEDANG
2015-07-14_DKI4,201507,2015-07-14,DKI4,70,33,25,53,12,70,PM10,SEDANG
2015-07-15_DKI5,201507,2015-07-15,DKI5,60,32,25,39,12,60,PM10,SEDANG
2015-07-16_DKI4,201507,2015-07-16,DKI4,55,31,21,45,9,55,PM10,SEDANG
2015-07-17_DKI4,201507,2015-07-17,DKI4,56,31,31,44,8,56,PM10,SEDANG
2015-07-18_DKI3,201507,2015-07-18,DKI3,52,30,22,58,8,58,O3,SEDANG
2015-07-19_DKI3,201507,2015-07-19,DKI3,54,29,21,56,8,56,O3,SEDANG
2015-07-20_DKI3,201507,2015-07-20,DKI3,55,30,22,61,9,61,O3,SEDANG
2015-07-21_DKI4,201507,2015-07-21,DKI4,72,30,22,64,9,72,PM10,SEDANG
2015-07-22_DKI4,201507,2015-07-22,DKI4,62,27,22,61,10,62,PM10,SEDANG
2015-07-23_DKI4,201507,2015-07-23,DKI4,63,28,30,56,11,63,PM10,SEDANG
2015-07-24_DKI4,201507,2015-07-24,DKI4,59,29,23,53,10,59,PM10,SEDANG
2015-07-25_DKI3,201507,2015-07-25,DKI3,66,32,24,79,12,79,O3,SEDANG
2015-07-26_DKI4,201507,2015-07-26,DKI4,110,28,27,80,30,110,PM10,TIDAK SEHAT
2015-07-27_DKI3,201507,2015-07-27,DKI3,69,27,26,82,17,82,O3,SEDANG
2015-07-28_DKI3,201507,2015-07-28,DKI3,65,34,26,66,16,66,O3,SEDANG
2015-07-29_DKI4,201507,2015-07-29,DKI4,71,33,26,54,17,71,PM10,SEDANG
2015-07-30_DKI4,201507,2015-07-30,DKI4,80,33,28,73,15,80,PM10,SEDANG
2015-07-31_DKI3,201507,2015-07-31,DKI3,79,32,27,82,22,82,O3,SEDANG
2015-08-01_DKI3,201508,2015-08-01,DKI3,81,32,29,91,20,91,O3,SEDANG
2015-08-02_DKI3,201508,2015-08-02,DKI3,86,27,28,94,15,94,O3,SEDANG
2015-08-03_DKI3,201508,2015-08-03,DKI3,67,35,25,69,17,69,O3,SEDANG
2015-08-04_DKI4,201508,2015-08-04,DKI4,101,38,37,86,24,101,PM10,TIDAK SEHAT
2015-08-05_DKI4,201508,2015-08-05,DKI4,91,35,21,73,20,91,PM10,SEDANG
2015-08-06_DKI4,201508,2015-08-06,DKI4,86,34,24,84,19,86,PM10,SEDANG
2015-08-07_DKI3,201508,2015-08-07,DKI3,62,31,19,88,18,88,O3,SEDANG
2015-08-08_DKI3,201508,2015-08-08,DKI3,70,27,22,95,22,95,O3,SEDANG
2015-08-09_DKI4,201508,2015-08-09,DKI4,76,30,31,71,20,76,PM10,SEDANG
2015-08-10_DKI4,201508,2015-08-10,DKI4,68,29,23,59,13,68,PM10,SEDANG
2015-08-11_DKI4,201508,2015-08-11,DKI4,75,29,24,74,15,75,PM10,SEDANG
2015-08-12_DKI3,201508,2015-08-12,DKI3,66,26,21,74,22,74,O3,SEDANG
2015-08-13_DKI4,201508,2015-08-13,DKI4,92,25,28,83,19,92,PM10,SEDANG
2015-08-14_DKI4,201508,2015-08-14,DKI4,65,25,22,56,13,65,PM10,SEDANG
2015-08-15_DKI3,201508,2015-08-15,DKI3,70,29,22,75,16,75,O3,SEDANG
2015-08-16_DKI4,201508,2015-08-16,DKI4,69,27,20,68,11,69,PM10,SEDANG
2015-08-17_DKI3,201508,2015-08-17,DKI3,72,29,18,77,14,77,O3,SEDANG
2015-08-18_DKI3,201508,2015-08-18,DKI3,78,29,23,79,18,79,O3,SEDANG
2015-08-19_DKI4,201508,2015-08-19,DKI4,88,29,24,82,16,88,PM10,SEDANG
2015-08-20_DKI4,201508,2015-08-20,DKI4,94,27,25,92,28,94,PM10,SEDANG
2015-08-21_DKI3,201508,2015-08-21,DKI3,79,29,22,98,22,98,O3,SEDANG
2015-08-22_DKI3,201508,2015-08-22,DKI3,94,32,18,96,19,96,O3,SEDANG
2015-08-23_DKI4,201508,2015-08-23,DKI4,97,31,22,77,20,97,PM10,SEDANG
2015-08-24_DKI4,201508,2015-08-24,DKI4,87,33,24,84,21,87,PM10,SEDANG
2015-08-25_DKI3,201508,2015-08-25,DKI3,96,34,25,102,21,102,O3,TIDAK SEHAT
2015-08-26_DKI4,201508,2015-08-26,DKI4,110,35,24,95,26,110,PM10,TIDAK SEHAT
2015-08-27_DKI4,201508,2015-08-27,DKI4,97,34,25,83,22,97,PM10,SEDANG
2015-08-28_DKI4,201508,2015-08-28,DKI4,88,32,23,75,24,88,PM10,SEDANG
2015-08-29_DKI3,201508,2015-08-29,DKI3,81,32,26,100,15,100,O3,SEDANG
2015-08-30_DKI4,201508,2015-08-30,DKI4,80,30,19,75,13,80,PM10,SEDANG
2015-08-31_DKI2,201508,2015-08-31,DKI2,69,31,19,105,24,105,O3,TIDAK SEHAT
2015-09-01_DKI4,201509,2015-09-01,DKI4,78,34,19,71,24,78,PM10,SEDANG
2015-09-02_DKI4,201509,2015-09-02,DKI4,86,39,23,70,25,86,PM10,SEDANG
2015-09-03_DKI4,201509,2015-09-03,DKI4,101,37,23,61,21,101,PM10,TIDAK SEHAT
2015-09-04_DKI4,201509,2015-09-04,DKI4,89,35,22,74,19,89,PM10,SEDANG
2015-09-05_DKI4,201509,2015-09-05,DKI4,80,33,20,71,18,80,PM10,SEDANG
2015-09-06_DKI4,201509,2015-09-06,DKI4,89,32,21,75,16,89,PM10,SEDANG
2015-09-07_DKI3,201509,2015-09-07,DKI3,82,33,24,83,20,83,O3,SEDANG
2015-09-08_DKI3,201509,2015-09-08,DKI3,86,33,25,102,18,102,O3,TIDAK SEHAT
2015-09-09_DKI3,201509,2015-09-09,DKI3,94,31,28,96,23,96,O3,SEDANG
2015-09-10_DKI3,201509,2015-09-10,DKI3,71,35,35,99,24,99,O3,SEDANG
2015-09-11_DKI3,201509,2015-09-11,DKI3,70,34,25,79,18,79,O3,SEDANG
2015-09-12_DKI3,201509,2015-09-12,DKI3,70,31,20,78,17,78,O3,SEDANG
2015-09-13_DKI2,201509,2015-09-13,DKI2,62,29,20,87,13,87,O3,SEDANG
2015-09-14_DKI2,201509,2015-09-14,DKI2,70,33,17,114,24,114,O3,TIDAK SEHAT
2015-09-15_DKI3,201509,2015-09-15,DKI3,75,33,27,91,23,91,O3,SEDANG
2015-09-16_DKI4,201509,2015-09-16,DKI4,76,31,23,71,17,76,PM10,SEDANG
2015-09-17_DKI4,201509,2015-09-17,DKI4,96,33,24,80,16,96,PM10,SEDANG
2015-09-18_DKI4,201509,2015-09-18,DKI4,94,31,22,67,14,94,PM10,SEDANG
2015-09-19_DKI4,201509,2015-09-19,DKI4,100,33,23,68,17,100,PM10,SEDANG
2015-09-20_DKI4,201509,2015-09-20,DKI4,116,30,28,92,19,116,PM10,TIDAK SEHAT
2015-09-21_DKI3,201509,2015-09-21,DKI3,112,32,27,120,22,120,O3,TIDAK SEHAT
2015-09-22_DKI4,201509,2015-09-22,DKI4,114,34,31,80,24,114,PM10,TIDAK SEHAT
2015-09-23_DKI4,201509,2015-09-23,DKI4,93,37,43,92,26,93,PM10,SEDANG
2015-09-24_DKI4,201509,2015-09-24,DKI4,98,33,40,95,23,98,PM10,SEDANG
2015-09-25_DKI3,201509,2015-09-25,DKI3,88,32,21,91,19,91,O3,SEDANG
2015-09-26_DKI1,201509,2015-09-26,DKI1,77,34,28,68,18,77,PM10,SEDANG
2015-09-27_DKI4,201509,2015-09-27,DKI4,80,32,22,78,13,80,PM10,SEDANG
2015-09-28_DKI3,201509,2015-09-28,DKI3,76,30,25,94,19,94,O3,SEDANG
2015-09-29_DKI4,201509,2015-09-29,DKI4,105,31,30,69,20,105,PM10,TIDAK SEHAT
2015-09-30_DKI4,201509,2015-09-30,DKI4,92,33,25,67,23,92,PM10,SEDANG
2015-10-01_DKI4,201510,2015-10-01,DKI4,121,36,28,69,33,121,PM10,TIDAK SEHAT
2015-10-02_DKI4,201510,2015-10-02,DKI4,107,33,33,57,16,107,PM10,TIDAK SEHAT
2015-10-03_DKI4,201510,2015-10-03,DKI4,108,32,27,54,13,108,PM10,TIDAK SEHAT
2015-10-04_DKI4,201510,2015-10-04,DKI4,121,33,26,66,11,121,PM10,TIDAK SEHAT
2015-10-05_DKI4,201510,2015-10-05,DKI4,86,31,23,81,21,86,PM10,SEDANG
2015-10-06_DKI3,201510,2015-10-06,DKI3,93,33,31,95,22,95,O3,SEDANG
2015-10-07_DKI3,201510,2015-10-07,DKI3,78,30,31,97,25,97,O3,SEDANG
2015-10-08_DKI3,201510,2015-10-08,DKI3,70,27,25,97,23,97,O3,SEDANG
