periode_data;tahun;periode;bulan_sampling;titik_sampel;sungai;alamat;lintang;bujur;jenis_parameter;parameter;satuan;baku_mutu;hasil_pengukuran
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;TIMAH HITAM PB;MG L;0,03;0,019
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;CROM HEXAVALEN CR6;MG L;0,05;0,0029
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;MINYAK DAN LEMAK;MG L;1;0,539
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;MBAS;MG L;0,2;0,03
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;FENOL;MG L;0,005;0,002
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;BIOLOGI;TOTAL COLIFORM;MPN 100 ML;5000;900000
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;BIOLOGI;FECAL COLIFORM;MPN 100 ML;1000;350000
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;FISIKA;WARNA;PT-CO UNIT;50;95
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;SULFAT;MG L;300;10,29
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;KLORIDA;MG L;300;51,65
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;AMONIAK;MG L;0,2;0,56
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;TOTAL N;MG L;15;-
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;NI;MG L;0,05;0,039
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;SIANIDA;MG L;0,02;0,032
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;NILAI IP;-;-;-;9,798
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;STATUS IP;-;-;-;CEMAR SEDANG
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;FISIKA;ZAT PADAT TERLARUT TDS;MG L;1000;215
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;FISIKA;ZAT PADAT TERSUSPENSI TSS;MG L;50;31
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;PH;-;06-Sep;7,42
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;BOD;MG L;3;11,57
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;COD DICHROMAT;MG L;25;47
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;DO;MG L;4;1,65
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;NITRAT NO3;MG L;10;0,95
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;NITRIT;MG L;0,06;0,17
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;TOTAL P;MG L;0,2;0,092
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;F;MG L;1,5;0,019
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;H2S;MG L;0,002;0,0009
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;KLORIN BEBAS;MG L;0,03;0,39
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;HG;MG L;0,002;0,000049
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;KADMIUM CD;MG L;0,01;0,0059
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;SENG ZN;MG L;0,05;0,008
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;TEMBAGA CU;MG L;0,02;0,009
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;TIMAH HITAM PB;MG L;0,03;0,019
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;CROM HEXAVALEN CR6;MG L;0,05;0,0029
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;MINYAK DAN LEMAK;MG L;1;0,539
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;MBAS;MG L;0,2;0,03
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;FENOL;MG L;0,005;0,002
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;BIOLOGI;TOTAL COLIFORM;MPN 100 ML;5000;900000
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;BIOLOGI;FECAL COLIFORM;MPN 100 ML;1000;350000
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;FISIKA;WARNA;PT-CO UNIT;50;90
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;SULFAT;MG L;300;17,22
2022;2022;1;202203;CLW1-6;CILIWUNG;SEBELUM PINTU AIR MANGGARAI;-6,212654;106,857741;KIMIA;KLORIDA;MG L;300;48,88
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;FISIKA;ZAT PADAT TERLARUT TDS;MG L;1000;94,3
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;FISIKA;ZAT PADAT TERSUSPENSI TSS;MG L;50;207
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;PH;-;06-Sep;7,8
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;BOD;MG L;3;18,7
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;COD DICHROMAT;MG L;25;67
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;DO;MG L;4;4,1
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;NITRAT NO3;MG L;10;1,24
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;NITRIT;MG L;0,06;0,12
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;TOTAL P;MG L;0,2;0,04
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;F;MG L;1,5;0,019
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;H2S;MG L;0,002;0,011
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;KLORIN BEBAS;MG L;0,03;0,42
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;HG;MG L;0,002;0,000049
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;KADMIUM CD;MG L;0,01;0,0059
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;SENG ZN;MG L;0,05;0,017
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;TEMBAGA CU;MG L;0,02;0,009
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;TIMAH HITAM PB;MG L;0,03;0,06
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;CROM HEXAVALEN CR6;MG L;0,05;0,0029
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;MINYAK DAN LEMAK;MG L;1;0,539
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;MBAS;MG L;0,2;0,029
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;FENOL;MG L;0,005;0,0029
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;BIOLOGI;TOTAL COLIFORM;MPN 100 ML;5000;50000
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;BIOLOGI;FECAL COLIFORM;MPN 100 ML;1000;11000
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;FISIKA;WARNA;PT-CO UNIT;50;141
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;SULFAT;MG L;300;17,1
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;KLORIDA;MG L;300;26,71
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;AMONIAK;MG L;0,2;0,22
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;TOTAL N;MG L;15;-
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;NI;MG L;0,05;0,039
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;KIMIA;SIANIDA;MG L;0,02;0,031
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;NILAI IP;-;-;-;4,929
2022;2022;1;202203;CLW1-1;CILIWUNG;JL. KELAPA DUA SRENGSENG SAWAH;-6,346698;106,838267;STATUS IP;-;-;-;CEMAR RINGAN
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;FISIKA;ZAT PADAT TERLARUT TDS;MG L;1000;97,1
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;FISIKA;ZAT PADAT TERSUSPENSI TSS;MG L;50;216
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;PH;-;06-Sep;7,64
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;BOD;MG L;3;11,77
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;COD DICHROMAT;MG L;25;62
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;DO;MG L;4;4,3
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;NITRAT NO3;MG L;10;1,38
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;NITRIT;MG L;0,06;0,14
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;TOTAL P;MG L;0,2;0,042
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;F;MG L;1,5;0,019
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;H2S;MG L;0,002;0,012
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;KLORIN BEBAS;MG L;0,03;0,44
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;HG;MG L;0,002;0,000049
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;KADMIUM CD;MG L;0,01;0,0059
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;SENG ZN;MG L;0,05;0,011
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;TEMBAGA CU;MG L;0,02;0,009
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;TIMAH HITAM PB;MG L;0,03;0,019
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;CROM HEXAVALEN CR6;MG L;0,05;0,0029
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;MINYAK DAN LEMAK;MG L;1;0,539
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;MBAS;MG L;0,2;0,029
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;FENOL;MG L;0,005;0,0038
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;BIOLOGI;TOTAL COLIFORM;MPN 100 ML;5000;50000
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;BIOLOGI;FECAL COLIFORM;MPN 100 ML;1000;32000
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;FISIKA;WARNA;PT-CO UNIT;50;106
2022;2022;1;202203;CLW1-2;CILIWUNG;KOMP. KOPASSUS CIJANTUNG;-6,346698;106,838267;KIMIA;SULFAT;MG L;300;16,34
