tanggal,stasiun,ndvi,days_since_ndvi_update
2010-08-27,DKI1,0.2487,14
2010-08-28,DKI1,0.2487,15
2010-08-29,DKI1,0.2265,0
2010-08-30,DKI1,0.2265,1
2010-08-31,DKI1,0.2265,2
2010-09-01,DKI1,0.2265,3
2010-09-02,DKI1,0.2265,4
2010-09-03,DKI1,0.2265,5
2010-09-04,DKI1,0.2265,6
2010-09-05,DKI1,0.2265,7
2010-09-06,DKI1,0.2265,8
2010-09-07,DKI1,0.2265,9
2010-09-08,DKI1,0.2265,10
2010-09-09,DKI1,0.2265,11
2010-09-10,DKI1,0.2265,12
2010-09-11,DKI1,0.2265,13
2010-09-12,DKI1,0.2265,14
2010-09-13,DKI1,0.2265,15
2010-09-14,DKI1,0.2577,0
2010-09-15,DKI1,0.2577,1
2010-09-16,DKI1,0.2577,2
2010-09-17,DKI1,0.2577,3
2010-09-18,DKI1,0.2577,4
2010-09-19,DKI1,0.2577,5
2010-09-20,DKI1,0.2577,6
2010-09-21,DKI1,0.2577,7
2010-09-22,DKI1,0.2577,8
2010-09-23,DKI1,0.2577,9
2010-09-24,DKI1,0.2577,10
2010-09-25,DKI1,0.2577,11
2010-09-26,DKI1,0.2577,12
2010-09-27,DKI1,0.2577,13
2010-09-28,DKI1,0.2577,14
2010-09-29,DKI1,0.2577,15
2010-09-30,DKI1,0.3053,0
2010-10-01,DKI1,0.3053,1
2010-10-02,DKI1,0.3053,2
2010-10-03,DKI1,0.3053,3
2010-10-04,DKI1,0.3053,4
2010-10-05,DKI1,0.3053,5
2010-10-06,DKI1,0.3053,6
2010-10-07,DKI1,0.3053,7
2010-10-08,DKI1,0.3053,8
2010-10-09,DKI1,0.3053,9
2010-10-10,DKI1,0.3053,10
2010-10-11,DKI1,0.3053,11
2010-10-12,DKI1,0.3053,12
2010-10-13,DKI1,0.3053,13
2010-10-14,DKI1,0.3053,14
2010-10-15,DKI1,0.3053,15
2010-10-16,DKI1,0.1998,0
2010-10-17,DKI1,0.1998,1
2010-10-18,DKI1,0.1998,2
2010-10-19,DKI1,0.1998,3
2010-10-20,DKI1,0.1998,4
2010-10-21,DKI1,0.1998,5
2010-10-22,DKI1,0.1998,6
2010-10-23,DKI1,0.1998,7
2010-10-24,DKI1,0.1998,8
2010-10-25,DKI1,0.1998,9
2010-10-26,DKI1,0.1998,10
2010-10-27,DKI1,0.1998,11
2010-10-28,DKI1,0.1998,12
2010-10-29,DKI1,0.1998,13
2010-10-30,DKI1,0.1998,14
2010-10-31,DKI1,0.1998,15
2010-11-01,DKI1,0.221,0
2010-11-02,DKI1,0.221,1
2010-11-03,DKI1,0.221,2
2010-11-04,DKI1,0.221,3
2010-11-05,DKI1,0.221,4
2010-11-06,DKI1,0.221,5
2010-11-07,DKI1,0.221,6
2010-11-08,DKI1,0.221,7
2010-11-09,DKI1,0.221,8
2010-11-10,DKI1,0.221,9
2010-11-11,DKI1,0.221,10
2010-11-12,DKI1,0.221,11
2010-11-13,DKI1,0.221,12
2010-11-14,DKI1,0.221,13
2010-11-15,DKI1,0.221,14
2010-11-16,DKI1,0.221,15
2010-11-17,DKI1,0.117,0
2010-11-18,DKI1,0.117,1
2010-11-19,DKI1,0.117,2
2010-11-20,DKI1,0.117,3
2010-11-21,DKI1,0.117,4
2010-11-22,DKI1,0.117,5
2010-11-23,DKI1,0.117,6
2010-11-24,DKI1,0.117,7
2010-11-25,DKI1,0.117,8
2010-11-26,DKI1,0.117,9
2010-11-27,DKI1,0.117,10
2010-11-28,DKI1,0.117,11
2010-11-29,DKI1,0.117,12
2010-11-30,DKI1,0.117,13
2010-12-01,DKI1,0.117,14
2010-12-02,DKI1,0.117,15
2010-12-03,DKI1,0.2249,0
2010-12-04,DKI1,0.2249,1
2010-12-05,DKI1,0.2249,2
2010-12-06,DKI1,0.2249,3
2010-12-07,DKI1,0.2249,4
2010-12-08,DKI1,0.2249,5
2010-12-09,DKI1,0.2249,6
2010-12-10,DKI1,0.2249,7
2010-12-11,DKI1,0.2249,8
2010-12-12,DKI1,0.2249,9
2010-12-13,DKI1,0.2249,10
2010-12-14,DKI1,0.2249,11
2010-12-15,DKI1,0.2249,12
2010-12-16,DKI1,0.2249,13
2010-12-17,DKI1,0.2249,14
2010-12-18,DKI1,0.2249,15
2010-12-19,DKI1,0.0707,0
2010-12-20,DKI1,0.0707,1
2010-12-21,DKI1,0.0707,2
2010-12-22,DKI1,0.0707,3
2010-12-23,DKI1,0.0707,4
2010-12-24,DKI1,0.0707,5
2010-12-25,DKI1,0.0707,6
2010-12-26,DKI1,0.0707,7
2010-12-27,DKI1,0.0707,8
2010-12-28,DKI1,0.0707,9
2010-12-29,DKI1,0.0707,10
2010-12-30,DKI1,0.0707,11
2010-12-31,DKI1,0.0707,12
2011-01-01,DKI1,0.1825,0
2011-01-02,DKI1,0.1825,1
2011-01-03,DKI1,0.1825,2
2011-01-04,DKI1,0.1825,3
2011-01-05,DKI1,0.1825,4
2011-01-06,DKI1,0.1825,5
2011-01-07,DKI1,0.1825,6
2011-01-08,DKI1,0.1825,7
2011-01-09,DKI1,0.1825,8
2011-01-10,DKI1,0.1825,9
2011-01-11,DKI1,0.1825,10
2011-01-12,DKI1,0.1825,11
2011-01-13,DKI1,0.1825,12
2011-01-14,DKI1,0.1825,13
2011-01-15,DKI1,0.1825,14
2011-01-16,DKI1,0.1825,15
2011-01-17,DKI1,0.1278,0
2011-01-18,DKI1,0.1278,1
2011-01-19,DKI1,0.1278,2
2011-01-20,DKI1,0.1278,3
2011-01-21,DKI1,0.1278,4
2011-01-22,DKI1,0.1278,5
2011-01-23,DKI1,0.1278,6
2011-01-24,DKI1,0.1278,7
2011-01-25,DKI1,0.1278,8
2011-01-26,DKI1,0.1278,9
2011-01-27,DKI1,0.1278,10
2011-01-28,DKI1,0.1278,11
2011-01-29,DKI1,0.1278,12
2011-01-30,DKI1,0.1278,13
2011-01-31,DKI1,0.1278,14
2011-02-01,DKI1,0.1278,15
2011-02-02,DKI1,0.0538,0
2011-02-03,DKI1,0.0538,1
2011-02-04,DKI1,0.0538,2
2011-02-05,DKI1,0.0538,3
2011-02-06,DKI1,0.0538,4
2011-02-07,DKI1,0.0538,5
2011-02-08,DKI1,0.0538,6
2011-02-09,DKI1,0.0538,7
2011-02-10,DKI1,0.0538,8
2011-02-11,DKI1,0.0538,9
2011-02-12,DKI1,0.0538,10
2011-02-13,DKI1,0.0538,11
2011-02-14,DKI1,0.0538,12
2011-02-15,DKI1,0.0538,13
2011-02-16,DKI1,0.0538,14
2011-02-17,DKI1,0.0538,15
2011-02-18,DKI1,0.238,0
2011-02-19,DKI1,0.238,1
2011-02-20,DKI1,0.238,2
2011-02-21,DKI1,0.238,3
2011-02-22,DKI1,0.238,4
2011-02-23,DKI1,0.238,5
2011-02-24,DKI1,0.238,6
2011-02-25,DKI1,0.238,7
2011-02-26,DKI1,0.238,8
2011-02-27,DKI1,0.238,9
2011-02-28,DKI1,0.238,10
2011-03-01,DKI1,0.238,11
2011-03-02,DKI1,0.238,12
2011-03-03,DKI1,0.238,13
2011-03-04,DKI1,0.238,14
2011-03-05,DKI1,0.238,15
2011-03-06,DKI1,0.3389,0
2011-03-07,DKI1,0.3389,1
2011-03-08,DKI1,0.3389,2
2011-03-09,DKI1,0.3389,3
2011-03-10,DKI1,0.3389,4
2011-03-11,DKI1,0.3389,5
2011-03-12,DKI1,0.3389,6
2011-03-13,DKI1,0.3389,7
2011-03-14,DKI1,0.3389,8
2011-03-15,DKI1,0.3389,9
2011-03-16,DKI1,0.3389,10
2011-03-17,DKI1,0.3389,11
2011-03-18,DKI1,0.3389,12
2011-03-19,DKI1,0.3389,13
2011-03-20,DKI1,0.3389,14
2011-03-21,DKI1,0.3389,15
2011-03-22,DKI1,0.1642,0
2011-03-23,DKI1,0.1642,1
2011-03-24,DKI1,0.1642,2
2011-03-25,DKI1,0.1642,3
2011-03-26,DKI1,0.1642,4
2011-03-27,DKI1,0.1642,5
2011-03-28,DKI1,0.1642,6
2011-03-29,DKI1,0.1642,7
2011-03-30,DKI1,0.1642,8
2011-03-31,DKI1,0.1642,9
2011-04-01,DKI1,0.1642,10
2011-04-02,DKI1,0.1642,11
2011-04-03,DKI1,0.1642,12
2011-04-04,DKI1,0.1642,13
2011-04-05,DKI1,0.1642,14
2011-04-06,DKI1,0.1642,15
2011-04-07,DKI1,0.2201,0
2011-04-08,DKI1,0.2201,1
2011-04-09,DKI1,0.2201,2
2011-04-10,DKI1,0.2201,3
2011-04-11,DKI1,0.2201,4
2011-04-12,DKI1,0.2201,5
2011-04-13,DKI1,0.2201,6
2011-04-14,DKI1,0.2201,7
2011-04-15,DKI1,0.2201,8
2011-04-16,DKI1,0.2201,9
2011-04-17,DKI1,0.2201,10
2011-04-18,DKI1,0.2201,11
2011-04-19,DKI1,0.2201,12
2011-04-20,DKI1,0.2201,13
2011-04-21,DKI1,0.2201,14
2011-04-22,DKI1,0.2201,15
2011-04-23,DKI1,0.3093,0
2011-04-24,DKI1,0.3093,1
2011-04-25,DKI1,0.3093,2
2011-04-26,DKI1,0.3093,3
2011-04-27,DKI1,0.3093,4
2011-04-28,DKI1,0.3093,5
2011-04-29,DKI1,0.3093,6
2011-04-30,DKI1,0.3093,7
2011-05-01,DKI1,0.3093,8
2011-05-02,DKI1,0.3093,9
2011-05-03,DKI1,0.3093,10
2011-05-04,DKI1,0.3093,11
2011-05-05,DKI1,0.3093,12
2011-05-06,DKI1,0.3093,13
2011-05-07,DKI1,0.3093,14
2011-05-08,DKI1,0.3093,15
2011-05-09,DKI1,0.1667,0
2011-05-10,DKI1,0.1667,1
2011-05-11,DKI1,0.1667,2
2011-05-12,DKI1,0.1667,3
2011-05-13,DKI1,0.1667,4
2011-05-14,DKI1,0.1667,5
2011-05-15,DKI1,0.1667,6
2011-05-16,DKI1,0.1667,7
2011-05-17,DKI1,0.1667,8
2011-05-18,DKI1,0.1667,9
2011-05-19,DKI1,0.1667,10
2011-05-20,DKI1,0.1667,11
2011-05-21,DKI1,0.1667,12
2011-05-22,DKI1,0.1667,13
2011-05-23,DKI1,0.1667,14
2011-05-24,DKI1,0.1667,15
2011-05-25,DKI1,0.0408,0
2011-05-26,DKI1,0.0408,1
2011-05-27,DKI1,0.0408,2
2011-05-28,DKI1,0.0408,3
2011-05-29,DKI1,0.0408,4
2011-05-30,DKI1,0.0408,5
2011-05-31,DKI1,0.0408,6
2011-06-01,DKI1,0.0408,7
2011-06-02,DKI1,0.0408,8
2011-06-03,DKI1,0.0408,9
2011-06-04,DKI1,0.0408,10
2011-06-05,DKI1,0.0408,11
2011-06-06,DKI1,0.0408,12
2011-06-07,DKI1,0.0408,13
2011-06-08,DKI1,0.0408,14
2011-06-09,DKI1,0.0408,15
2011-06-10,DKI1,0.2394,0
2011-06-11,DKI1,0.2394,1
2011-06-12,DKI1,0.2394,2
2011-06-13,DKI1,0.2394,3
2011-06-14,DKI1,0.2394,4
2011-06-15,DKI1,0.2394,5
2011-06-16,DKI1,0.2394,6
2011-06-17,DKI1,0.2394,7
2011-06-18,DKI1,0.2394,8
2011-06-19,DKI1,0.2394,9
2011-06-20,DKI1,0.2394,10
2011-06-21,DKI1,0.2394,11
2011-06-22,DKI1,0.2394,12
2011-06-23,DKI1,0.2394,13
2011-06-24,DKI1,0.2394,14
2011-06-25,DKI1,0.2394,15
2011-06-26,DKI1,0.1164,0
2011-06-27,DKI1,0.1164,1
2011-06-28,DKI1,0.1164,2
2011-06-29,DKI1,0.1164,3
2011-06-30,DKI1,0.1164,4
2011-07-01,DKI1,0.1164,5
2011-07-02,DKI1,0.1164,6
2011-07-03,DKI1,0.1164,7
2011-07-04,DKI1,0.1164,8
2011-07-05,DKI1,0.1164,9
2011-07-06,DKI1,0.1164,10
2011-07-07,DKI1,0.1164,11
2011-07-08,DKI1,0.1164,12
2011-07-09,DKI1,0.1164,13
2011-07-10,DKI1,0.1164,14
2011-07-11,DKI1,0.1164,15
2011-07-12,DKI1,0.1747,0
2011-07-13,DKI1,0.1747,1
2011-07-14,DKI1,0.1747,2
2011-07-15,DKI1,0.1747,3
2011-07-16,DKI1,0.1747,4
2011-07-17,DKI1,0.1747,5
2011-07-18,DKI1,0.1747,6
2011-07-19,DKI1,0.1747,7
2011-07-20,DKI1,0.1747,8
2011-07-21,DKI1,0.1747,9
2011-07-22,DKI1,0.1747,10
2011-07-23,DKI1,0.1747,11
2011-07-24,DKI1,0.1747,12
2011-07-25,DKI1,0.1747,13
2011-07-26,DKI1,0.1747,14
2011-07-27,DKI1,0.1747,15
2011-07-28,DKI1,0.252,0
2011-07-29,DKI1,0.252,1
2011-07-30,DKI1,0.252,2
2011-07-31,DKI1,0.252,3
2011-08-01,DKI1,0.252,4
2011-08-02,DKI1,0.252,5
2011-08-03,DKI1,0.252,6
2011-08-04,DKI1,0.252,7
2011-08-05,DKI1,0.252,8
2011-08-06,DKI1,0.252,9
2011-08-07,DKI1,0.252,10
2011-08-08,DKI1,0.252,11
2011-08-09,DKI1,0.252,12
2011-08-10,DKI1,0.252,13
2011-08-11,DKI1,0.252,14
2011-08-12,DKI1,0.252,15
2011-08-13,DKI1,0.2006,0
2011-08-14,DKI1,0.2006,1
2011-08-15,DKI1,0.2006,2
2011-08-16,DKI1,0.2006,3
2011-08-17,DKI1,0.2006,4
2011-08-18,DKI1,0.2006,5
2011-08-19,DKI1,0.2006,6
2011-08-20,DKI1,0.2006,7
2011-08-21,DKI1,0.2006,8
2011-08-22,DKI1,0.2006,9
2011-08-23,DKI1,0.2006,10
2011-08-24,DKI1,0.2006,11
2011-08-25,DKI1,0.2006,12
2011-08-26,DKI1,0.2006,13
2011-08-27,DKI1,0.2006,14
2011-08-28,DKI1,0.2006,15
2011-08-29,DKI1,0.2129,0
2011-08-30,DKI1,0.2129,1
2011-08-31,DKI1,0.2129,2
2011-09-01,DKI1,0.2129,3
2011-09-02,DKI1,0.2129,4
2011-09-03,DKI1,0.2129,5
2011-09-04,DKI1,0.2129,6
2011-09-05,DKI1,0.2129,7
2011-09-06,DKI1,0.2129,8
2011-09-07,DKI1,0.2129,9
2011-09-08,DKI1,0.2129,10
2011-09-09,DKI1,0.2129,11
2011-09-10,DKI1,0.2129,12
2011-09-11,DKI1,0.2129,13
2011-09-12,DKI1,0.2129,14
2011-09-13,DKI1,0.2129,15
2011-09-14,DKI1,0.306,0
2011-09-15,DKI1,0.306,1
2011-09-16,DKI1,0.306,2
2011-09-17,DKI1,0.306,3
2011-09-18,DKI1,0.306,4
2011-09-19,DKI1,0.306,5
2011-09-20,DKI1,0.306,6
2011-09-21,DKI1,0.306,7
2011-09-22,DKI1,0.306,8
2011-09-23,DKI1,0.306,9
2011-09-24,DKI1,0.306,10
2011-09-25,DKI1,0.306,11
2011-09-26,DKI1,0.306,12
2011-09-27,DKI1,0.306,13
2011-09-28,DKI1,0.306,14
2011-09-29,DKI1,0.306,15
2011-09-30,DKI1,0.2529,0
2011-10-01,DKI1,0.2529,1
2011-10-02,DKI1,0.2529,2
2011-10-03,DKI1,0.2529,3
2011-10-04,DKI1,0.2529,4
2011-10-05,DKI1,0.2529,5
2011-10-06,DKI1,0.2529,6
2011-10-07,DKI1,0.2529,7
2011-10-08,DKI1,0.2529,8
2011-10-09,DKI1,0.2529,9
2011-10-10,DKI1,0.2529,10
2011-10-11,DKI1,0.2529,11
2011-10-12,DKI1,0.2529,12
2011-10-13,DKI1,0.2529,13
2011-10-14,DKI1,0.2529,14
2011-10-15,DKI1,0.2529,15
2011-10-16,DKI1,0.2435,0
2011-10-17,DKI1,0.2435,1
2011-10-18,DKI1,0.2435,2
2011-10-19,DKI1,0.2435,3
2011-10-20,DKI1,0.2435,4
2011-10-21,DKI1,0.2435,5
2011-10-22,DKI1,0.2435,6
2011-10-23,DKI1,0.2435,7
2011-10-24,DKI1,0.2435,8
2011-10-25,DKI1,0.2435,9
2011-10-26,DKI1,0.2435,10
2011-10-27,DKI1,0.2435,11
2011-10-28,DKI1,0.2435,12
2011-10-29,DKI1,0.2435,13
2011-10-30,DKI1,0.2435,14
2011-10-31,DKI1,0.2435,15
2011-11-01,DKI1,0.1968,0
2011-11-02,DKI1,0.1968,1
2011-11-03,DKI1,0.1968,2
2011-11-04,DKI1,0.1968,3
2011-11-05,DKI1,0.1968,4
2011-11-06,DKI1,0.1968,5
2011-11-07,DKI1,0.1968,6
2011-11-08,DKI1,0.1968,7
2011-11-09,DKI1,0.1968,8
2011-11-10,DKI1,0.1968,9
2011-11-11,DKI1,0.1968,10
2011-11-12,DKI1,0.1968,11
2011-11-13,DKI1,0.1968,12
2011-11-14,DKI1,0.1968,13
2011-11-15,DKI1,0.1968,14
2011-11-16,DKI1,0.1968,15
2011-11-17,DKI1,0.129,0
2011-11-18,DKI1,0.129,1
2011-11-19,DKI1,0.129,2
2011-11-20,DKI1,0.129,3
2011-11-21,DKI1,0.129,4
2011-11-22,DKI1,0.129,5
2011-11-23,DKI1,0.129,6
2011-11-24,DKI1,0.129,7
2011-11-25,DKI1,0.129,8
2011-11-26,DKI1,0.129,9
2011-11-27,DKI1,0.129,10
2011-11-28,DKI1,0.129,11
2011-11-29,DKI1,0.129,12
2011-11-30,DKI1,0.129,13
2011-12-01,DKI1,0.129,14
2011-12-02,DKI1,0.129,15
2011-12-03,DKI1,0.1835,0
2011-12-04,DKI1,0.1835,1
2011-12-05,DKI1,0.1835,2
2011-12-06,DKI1,0.1835,3
2011-12-07,DKI1,0.1835,4
2011-12-08,DKI1,0.1835,5
2011-12-09,DKI1,0.1835,6
2011-12-10,DKI1,0.1835,7
2011-12-11,DKI1,0.1835,8
2011-12-12,DKI1,0.1835,9
2011-12-13,DKI1,0.1835,10
2011-12-14,DKI1,0.1835,11
2011-12-15,DKI1,0.1835,12
2011-12-16,DKI1,0.1835,13
2011-12-17,DKI1,0.1835,14
2011-12-18,DKI1,0.1835,15
2011-12-19,DKI1,0.2607,0
2011-12-20,DKI1,0.2607,1
2011-12-21,DKI1,0.2607,2
2011-12-22,DKI1,0.2607,3
2011-12-23,DKI1,0.2607,4
2011-12-24,DKI1,0.2607,5
2011-12-25,DKI1,0.2607,6
2011-12-26,DKI1,0.2607,7
2011-12-27,DKI1,0.2607,8
2011-12-28,DKI1,0.2607,9
2011-12-29,DKI1,0.2607,10
2011-12-30,DKI1,0.2607,11
2011-12-31,DKI1,0.2607,12
2012-01-01,DKI1,0.1612,0
2012-01-02,DKI1,0.1612,1
2012-01-03,DKI1,0.1612,2
2012-01-04,DKI1,0.1612,3
2012-01-05,DKI1,0.1612,4
2012-01-06,DKI1,0.1612,5
2012-01-07,DKI1,0.1612,6
2012-01-08,DKI1,0.1612,7
2012-01-09,DKI1,0.1612,8
2012-01-10,DKI1,0.1612,9
